,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,E_OFF_RATING,OFF_RATING,sp_work_OFF_RATING,E_DEF_RATING,DEF_RATING,sp_work_DEF_RATING,E_NET_RATING,NET_RATING,sp_work_NET_RATING,AST_PCT,AST_TO,AST_RATIO,OREB_PCT,DREB_PCT,REB_PCT,TM_TOV_PCT,E_TOV_PCT,EFG_PCT,TS_PCT,USG_PCT,E_USG_PCT,E_PACE,PACE,PACE_PER40,sp_work_PACE,PIE,POSS,FGM,FGA,FGM_PG,FGA_PG,FG_PCT,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,E_OFF_RATING_RANK,OFF_RATING_RANK,sp_work_OFF_RATING_RANK,E_DEF_RATING_RANK,DEF_RATING_RANK,sp_work_DEF_RATING_RANK,E_NET_RATING_RANK,NET_RATING_RANK,sp_work_NET_RATING_RANK,AST_PCT_RANK,AST_TO_RANK,AST_RATIO_RANK,OREB_PCT_RANK,DREB_PCT_RANK,REB_PCT_RANK,TM_TOV_PCT_RANK,E_TOV_PCT_RANK,EFG_PCT_RANK,TS_PCT_RANK,USG_PCT_RANK,E_USG_PCT_RANK,E_PACE_RANK,PACE_RANK,sp_work_PACE_RANK,PIE_RANK,FGM_RANK,FGA_RANK,FGM_PG_RANK,FGA_PG_RANK,FG_PCT_RANK,CFID,CFPARAMS
0,203932,Aaron Gordon,1610612753,ORL,24.0,58,28,30,0.483,33.0,107.1,108.2,108.2,109.1,110.1,110.1,-2.0,-2.0,-2.0,0.164,2.29,19.2,0.051,0.175,0.112,8.4,8.4,0.479,0.511,0.203,0.207,100.54,99.58,82.98,99.58,0.101,3962,314,726,5.4,12.5,0.433,117,140,392,242,41,268,238,238,319,348,348,286,286,286,142,97,152,151,116,126,139,141,358,361,146,153,380,438,438,165,77,64,86,78,273,5,"203932,1610612753"
1,1628988,Aaron Holiday,1610612754,IND,23.0,58,36,22,0.621,23.6,109.8,109.4,109.4,105.6,107.4,107.4,4.2,1.9,1.9,0.191,2.57,24.3,0.015,0.076,0.046,9.4,9.4,0.488,0.517,0.188,0.193,100.76,100.09,83.41,100.09,0.077,2868,202,496,3.5,8.6,0.407,117,74,287,149,194,150,185,185,183,228,228,131,177,177,107,65,89,413,443,445,194,195,339,347,184,185,367,404,404,302,162,138,188,157,357,5,"1628988,1610612754"
2,1627846,Abdel Nader,1610612760,OKC,26.0,48,33,15,0.688,15.8,100.4,100.6,100.6,103.9,103.9,103.9,-3.5,-3.4,-3.4,0.07,0.97,11.1,0.018,0.095,0.057,11.4,11.3,0.543,0.58,0.16,0.165,101.88,101.8,84.83,101.8,0.071,1601,100,220,2.1,4.6,0.455,243,98,189,75,321,435,427,427,122,111,111,334,334,334,401,398,399,375,383,387,343,334,163,152,305,308,291,296,296,332,276,282,312,317,201,5,"1627846,1610612760"
3,1629690,Adam Mokoka,1610612741,CHI,21.0,11,3,8,0.273,10.2,124.1,121.4,121.4,103.6,104.4,104.4,20.6,17.1,17.1,0.043,2.0,11.4,0.057,0.029,0.044,5.7,5.6,0.536,0.538,0.11,0.118,99.65,100.37,83.64,100.37,0.023,238,12,28,1.1,2.5,0.429,436,447,99,457,412,9,8,8,113,128,128,13,17,17,479,137,385,127,500,464,43,40,188,288,475,471,441,385,385,483,432,432,417,420,285,5,"1629690,1610612741"
4,1629678,Admiral Schofield,1610612764,WAS,22.0,27,9,18,0.333,10.8,103.1,104.1,104.1,109.3,109.0,109.0,-6.1,-4.9,-4.9,0.068,2.0,13.7,0.018,0.092,0.054,6.9,6.9,0.493,0.514,0.123,0.127,103.69,103.31,86.1,103.31,0.037,628,30,75,1.1,2.8,0.4,362,378,224,391,402,388,359,359,330,301,301,393,368,368,414,137,303,371,392,405,75,77,326,353,456,457,174,203,203,463,392,386,416,411,378,5,"1629678,1610612764"
5,201143,Al Horford,1610612755,PHI,33.0,60,35,25,0.583,30.8,109.0,109.5,109.5,105.0,106.0,106.0,4.0,3.5,3.5,0.185,3.75,24.5,0.05,0.17,0.11,6.5,6.5,0.51,0.526,0.174,0.177,101.02,100.26,83.55,100.26,0.111,3852,289,654,4.8,10.9,0.442,92,85,336,189,76,183,176,176,155,184,184,133,141,141,114,11,85,156,131,130,60,61,281,326,236,246,344,391,391,115,84,84,107,109,240,5,"201143,1610612755"
6,202329,Al-Farouq Aminu,1610612753,ORL,29.0,18,7,11,0.389,21.1,95.2,94.7,94.7,99.7,100.1,100.1,-4.4,-5.4,-5.4,0.088,1.24,15.2,0.053,0.158,0.102,12.3,12.4,0.343,0.395,0.127,0.129,100.13,100.15,83.46,100.15,0.063,797,25,86,1.4,4.8,0.291,402,405,132,342,229,476,470,470,51,64,64,352,379,379,319,326,252,144,159,156,391,398,471,467,446,450,411,400,400,377,400,376,389,304,470,5,"202329,1610612753"
7,202692,Alec Burks,1610612755,PHI,28.0,59,17,42,0.288,27.3,102.7,102.1,102.1,109.9,110.4,110.4,-7.2,-8.3,-8.3,0.178,2.01,16.1,0.025,0.134,0.077,8.0,8.0,0.475,0.549,0.23,0.239,101.89,101.96,84.97,101.96,0.114,3428,283,701,4.8,11.9,0.404,106,280,493,444,141,399,401,401,353,360,360,415,433,433,126,136,222,299,233,263,116,116,372,247,90,87,290,283,283,106,92,69,110,90,369,5,"202692,1610612755"
8,1629346,Alen Smailagic,1610612744,GSW,19.0,14,1,13,0.071,9.9,108.2,106.2,106.3,113.7,109.2,109.2,-5.5,-3.0,-3.0,0.133,1.18,18.1,0.077,0.11,0.095,15.3,15.2,0.538,0.61,0.175,0.182,101.87,104.89,87.41,104.89,0.089,304,20,40,1.4,2.9,0.5,419,483,164,502,416,221,296,296,452,314,314,381,319,319,191,336,175,85,315,182,473,472,183,79,235,228,292,112,112,224,411,416,385,408,102,5,"1629346,1610612744"
9,1627936,Alex Caruso,1610612747,LAL,26.0,58,45,13,0.776,17.8,110.5,110.6,110.6,99.7,100.3,100.3,10.9,10.3,10.3,0.128,2.22,23.1,0.014,0.088,0.052,10.4,10.4,0.496,0.538,0.136,0.141,103.24,102.86,85.72,102.86,0.075,2210,110,260,1.9,4.5,0.423,117,14,164,40,282,123,133,133,52,66,66,40,41,41,205,105,105,431,409,418,260,265,316,287,411,402,202,230,230,317,263,253,332,325,306,5,"1627936,1610612747"
