,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
0,22016,203497,Rudy Gobert,1610612762,UTA,Utah Jazz,Cut,Offensive,0.477,81,0.3,1.226,0.678,0.233,0.084,0.233,0.044,0.649,0.678,296,363,145,214,69
1,22016,203991,Clint Capela,1610612745,HOU,Houston Rockets,Cut,Offensive,0.749,65,0.299,1.385,0.751,0.138,0.055,0.138,0.041,0.697,0.751,218,302,139,185,46
2,22016,101162,Marcin Gortat,1610612764,WAS,Washington Wizards,Cut,Offensive,0.409,82,0.295,1.184,0.606,0.086,0.047,0.082,0.02,0.6,0.606,255,302,137,226,89
3,22016,202355,Hassan Whiteside,1610612748,MIA,Miami Heat,Cut,Offensive,0.56,77,0.182,1.272,0.662,0.123,0.047,0.123,0.043,0.638,0.662,235,299,135,204,69
4,22016,2730,Dwight Howard,1610612737,ATL,Atlanta Hawks,Cut,Offensive,0.709,74,0.21,1.358,0.765,0.25,0.074,0.245,0.054,0.716,0.765,204,277,114,149,35
5,22016,201599,DeAndre Jordan,1610612746,LAC,LA Clippers,Cut,Offensive,0.811,81,0.217,1.416,0.772,0.242,0.042,0.237,0.068,0.737,0.772,190,269,115,149,34
6,22016,1626167,Myles Turner,1610612754,IND,Indiana Pacers,Cut,Offensive,0.62,81,0.185,1.314,0.635,0.265,0.064,0.265,0.064,0.657,0.635,204,268,94,148,54
7,22016,203507,Giannis Antetokounmpo,1610612749,MIL,Milwaukee Bucks,Cut,Offensive,0.91,80,0.097,1.5,0.761,0.256,0.035,0.238,0.07,0.762,0.761,172,258,102,134,32
8,22016,203999,Nikola Jokic,1610612743,DEN,Denver Nuggets,Cut,Offensive,0.82,73,0.146,1.417,0.734,0.098,0.055,0.092,0.031,0.706,0.734,163,231,105,143,38
9,22016,202328,Greg Monroe,1610612749,MIL,Milwaukee Bucks,Cut,Offensive,0.594,81,0.181,1.291,0.646,0.194,0.051,0.189,0.069,0.657,0.646,175,226,93,144,51
