,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
0,22018,200755,JJ Redick,1610612755,PHI,Philadelphia 76ers,Handoff,Offensive,0.85,76,0.324,1.101,0.449,0.063,0.076,0.056,0.013,0.443,0.564,395,435,155,345,190
1,22018,1627750,Jamal Murray,1610612743,DEN,Denver Nuggets,Handoff,Offensive,0.622,75,0.154,0.968,0.451,0.069,0.092,0.055,0.005,0.445,0.503,218,211,83,184,101
2,22018,203914,Gary Harris,1610612743,DEN,Denver Nuggets,Handoff,Offensive,0.646,57,0.266,0.98,0.443,0.103,0.054,0.093,0.02,0.466,0.494,204,200,78,176,98
3,22018,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,Handoff,Offensive,0.531,80,0.109,0.929,0.384,0.081,0.147,0.062,0.005,0.374,0.482,211,196,63,164,101
4,22018,1626196,Josh Richardson,1610612748,MIA,Miami Heat,Handoff,Offensive,0.706,73,0.141,1.006,0.396,0.08,0.075,0.057,0.011,0.408,0.497,174,175,59,149,90
5,22018,203468,CJ McCollum,1610612757,POR,Portland Trail Blazers,Handoff,Offensive,0.741,70,0.117,1.036,0.454,0.048,0.048,0.054,0.012,0.449,0.533,167,173,69,152,83
6,22018,202689,Kemba Walker,1610612766,CHA,Charlotte Hornets,Handoff,Offensive,0.558,82,0.078,0.944,0.421,0.043,0.093,0.037,0.006,0.401,0.5,162,153,59,140,81
7,22018,203095,Evan Fournier,1610612753,ORL,Orlando Magic,Handoff,Offensive,0.572,81,0.121,0.949,0.449,0.058,0.096,0.058,0.026,0.423,0.504,156,148,61,136,75
8,22018,1628378,Donovan Mitchell,1610612762,UTA,Utah Jazz,Handoff,Offensive,0.503,77,0.083,0.919,0.398,0.113,0.094,0.094,0.006,0.425,0.465,160,147,51,128,77
9,22018,203952,Andrew Wiggins,1610612750,MIN,Minnesota Timberwolves,Handoff,Offensive,0.517,73,0.101,0.927,0.402,0.113,0.087,0.093,0.013,0.42,0.48,150,139,49,122,73
10,22018,204038,Langston Galloway,1610612765,DET,Detroit Pistons,Handoff,Offensive,0.857,80,0.192,1.105,0.464,0.105,0.04,0.089,0.048,0.476,0.527,124,137,52,112,60
11,22018,1627741,Buddy Hield,1610612758,SAC,Sacramento Kings,Handoff,Offensive,0.808,82,0.081,1.071,0.455,0.016,0.039,0.016,0.008,0.441,0.55,127,136,55,121,66
12,22018,203078,Bradley Beal,1610612764,WAS,Washington Wizards,Handoff,Offensive,0.748,82,0.064,1.039,0.471,0.14,0.093,0.109,0.039,0.473,0.519,129,134,49,104,55
13,22018,202681,Kyrie Irving,1610612738,BOS,Boston Celtics,Handoff,Offensive,0.636,67,0.089,0.978,0.454,0.06,0.142,0.045,0.007,0.418,0.532,134,131,49,108,59
14,22018,203897,Zach LaVine,1610612741,CHI,Chicago Bulls,Handoff,Offensive,0.731,63,0.081,1.033,0.515,0.082,0.139,0.066,0.016,0.475,0.588,122,126,50,97,47
15,22018,204060,Joe Ingles,1610612762,UTA,Utah Jazz,Handoff,Offensive,0.654,82,0.121,0.984,0.51,0.055,0.173,0.031,0.016,0.433,0.58,127,125,51,100,49
16,22018,201158,Marco Belinelli,1610612759,SAS,San Antonio Spurs,Handoff,Offensive,0.689,79,0.154,1.0,0.406,0.105,0.097,0.089,0.016,0.419,0.485,124,124,41,101,60
17,22018,203501,Tim Hardaway Jr.,1610612752,NYK,New York Knicks,Handoff,Offensive,0.413,46,0.149,0.873,0.377,0.067,0.09,0.045,0.007,0.381,0.447,134,117,43,114,71
18,22018,2594,Kyle Korver,1610612762,UTA,Utah Jazz,Handoff,Offensive,0.801,54,0.229,1.065,0.398,0.103,0.103,0.084,0.028,0.402,0.528,107,114,35,88,53
19,22018,203493,Reggie Bullock,1610612765,DET,Detroit Pistons,Handoff,Offensive,0.72,44,0.218,1.018,0.406,0.071,0.089,0.054,0.018,0.402,0.526,112,114,39,96,57
20,22018,201950,Jrue Holiday,1610612740,NOP,New Orleans Pelicans,Handoff,Offensive,0.49,67,0.085,0.912,0.432,0.112,0.136,0.112,0.008,0.432,0.489,125,114,41,95,54
21,22018,201937,Ricky Rubio,1610612762,UTA,Utah Jazz,Handoff,Offensive,0.479,68,0.125,0.904,0.446,0.112,0.112,0.104,0.032,0.44,0.475,125,113,45,101,56
22,22018,203082,Terrence Ross,1610612753,ORL,Orlando Magic,Handoff,Offensive,0.385,81,0.112,0.862,0.376,0.038,0.069,0.038,0.008,0.369,0.427,130,112,44,117,73
23,22018,203903,Jordan Clarkson,1610612739,CLE,Cleveland Cavaliers,Handoff,Offensive,0.346,81,0.095,0.841,0.394,0.061,0.121,0.061,0.008,0.379,0.44,132,111,43,109,66
24,22018,1629027,Trae Young,1610612737,ATL,Atlanta Hawks,Handoff,Offensive,0.29,80,0.081,0.797,0.384,0.094,0.196,0.065,0.007,0.362,0.439,138,110,38,99,61
25,22018,201144,Mike Conley,1610612763,MEM,Memphis Grizzlies,Handoff,Offensive,0.724,70,0.074,1.029,0.419,0.171,0.057,0.152,0.048,0.467,0.453,105,108,36,86,50
26,22018,202691,Klay Thompson,1610612744,GSW,Golden State Warriors,Handoff,Offensive,0.594,78,0.071,0.955,0.396,0.036,0.063,0.036,0.0,0.393,0.49,112,107,40,101,61
27,22018,202331,Paul George,1610612760,OKC,Oklahoma City Thunder,Handoff,Offensive,0.591,76,0.054,0.954,0.404,0.074,0.12,0.065,0.019,0.38,0.517,108,103,36,89,53
28,22018,201935,James Harden,1610612745,HOU,Houston Rockets,Handoff,Offensive,0.773,78,0.036,1.053,0.478,0.126,0.2,0.084,0.032,0.432,0.597,95,100,32,67,35
29,22018,1626156,D'Angelo Russell,1610612751,BKN,Brooklyn Nets,Handoff,Offensive,0.646,81,0.055,0.98,0.487,0.069,0.196,0.059,0.01,0.422,0.566,102,100,37,76,39
30,22018,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,Handoff,Offensive,0.825,69,0.055,1.089,0.461,0.044,0.111,0.044,0.0,0.433,0.586,90,98,35,76,41
31,22018,101150,Lou Williams,1610612746,LAC,LA Clippers,Handoff,Offensive,0.552,75,0.068,0.942,0.457,0.106,0.135,0.087,0.019,0.433,0.494,104,98,37,81,44
32,22018,202704,Reggie Jackson,1610612765,DET,Detroit Pistons,Handoff,Offensive,0.86,82,0.069,1.115,0.449,0.069,0.034,0.057,0.0,0.471,0.564,87,97,35,78,43
33,22018,1628422,Damyean Dotson,1610612752,NYK,New York Knicks,Handoff,Offensive,0.437,73,0.133,0.88,0.4,0.028,0.093,0.028,0.0,0.38,0.474,108,95,38,95,57
34,22018,200768,Kyle Lowry,1610612761,TOR,Toronto Raptors,Handoff,Offensive,0.934,65,0.075,1.24,0.5,0.093,0.093,0.093,0.013,0.493,0.661,75,93,31,62,31
35,22018,1629013,Landry Shamet,1610612755,PHI,Philadelphia 76ers,Handoff,Offensive,0.839,54,0.217,1.094,0.408,0.059,0.059,0.059,0.012,0.412,0.533,85,93,31,76,45
36,22018,203087,Jeremy Lamb,1610612766,CHA,Charlotte Hornets,Handoff,Offensive,0.787,79,0.075,1.057,0.472,0.125,0.08,0.125,0.023,0.489,0.521,88,93,34,72,38
37,22018,204020,Tyler Johnson,1610612748,MIA,Miami Heat,Handoff,Offensive,0.444,44,0.21,0.886,0.398,0.048,0.133,0.038,0.019,0.352,0.5,105,93,35,88,53
38,22018,203932,Aaron Gordon,1610612753,ORL,Orlando Magic,Handoff,Offensive,0.71,78,0.069,1.011,0.456,0.133,0.144,0.111,0.033,0.444,0.544,90,91,31,68,37
39,22018,1627736,Malik Beasley,1610612743,DEN,Denver Nuggets,Handoff,Offensive,0.455,81,0.125,0.892,0.402,0.01,0.088,0.01,0.0,0.373,0.484,102,91,37,92,55
40,22018,1628989,Kevin Huerter,1610612737,ATL,Atlanta Hawks,Handoff,Offensive,0.604,74,0.119,0.957,0.429,0.054,0.109,0.043,0.0,0.413,0.513,92,88,33,77,44
41,22018,201961,Wayne Ellington,1610612765,DET,Detroit Pistons,Handoff,Offensive,0.713,28,0.275,1.012,0.408,0.047,0.07,0.035,0.0,0.395,0.539,86,87,31,76,45
42,22018,1628379,Luke Kennard,1610612765,DET,Detroit Pistons,Handoff,Offensive,0.598,63,0.151,0.956,0.417,0.033,0.055,0.033,0.011,0.407,0.488,91,87,35,84,49
43,22018,203145,Kent Bazemore,1610612737,ATL,Atlanta Hawks,Handoff,Offensive,0.185,67,0.142,0.69,0.352,0.111,0.19,0.095,0.024,0.341,0.374,126,87,32,91,59
44,22018,1627854,Bryn Forbes,1610612759,SAS,San Antonio Spurs,Handoff,Offensive,0.919,82,0.078,1.214,0.567,0.057,0.114,0.057,0.029,0.514,0.667,70,85,34,60,26
45,22018,202710,Jimmy Butler,1610612755,PHI,Philadelphia 76ers,Handoff,Offensive,0.745,55,0.084,1.037,0.424,0.136,0.062,0.136,0.012,0.469,0.492,81,84,28,66,38
46,22018,202711,Bojan Bogdanovic,1610612754,IND,Indiana Pacers,Handoff,Offensive,0.619,81,0.066,0.966,0.533,0.115,0.207,0.092,0.011,0.471,0.583,87,84,32,60,28
47,22018,203925,Joe Harris,1610612751,BKN,Brooklyn Nets,Handoff,Offensive,0.633,76,0.091,0.976,0.397,0.083,0.107,0.083,0.0,0.405,0.507,84,82,27,68,41
48,22018,203992,Bogdan Bogdanovic,1610612758,SAC,Sacramento Kings,Handoff,Offensive,0.615,70,0.081,0.965,0.394,0.071,0.106,0.071,0.012,0.388,0.5,85,82,28,71,43
49,22018,1626144,Emmanuel Mudiay,1610612752,NYK,New York Knicks,Handoff,Offensive,0.5,59,0.089,0.918,0.444,0.024,0.129,0.024,0.0,0.4,0.514,85,78,32,72,40
50,22018,1627752,Taurean Prince,1610612737,ATL,Atlanta Hawks,Handoff,Offensive,0.755,54,0.101,1.041,0.471,0.203,0.162,0.203,0.054,0.473,0.549,74,77,24,51,27
51,22018,201142,Kevin Durant,1610612744,GSW,Golden State Warriors,Handoff,Offensive,0.853,78,0.037,1.103,0.519,0.118,0.088,0.118,0.0,0.529,0.546,68,75,28,54,26
52,22018,203503,Tony Snell,1610612749,MIL,Milwaukee Bucks,Handoff,Offensive,0.906,74,0.157,1.194,0.448,0.081,0.032,0.081,0.048,0.452,0.578,62,74,26,58,32
53,22018,1628369,Jayson Tatum,1610612738,BOS,Boston Celtics,Handoff,Offensive,0.717,79,0.057,1.014,0.424,0.056,0.028,0.056,0.0,0.444,0.492,72,73,28,66,38
54,22018,201587,Nicolas Batum,1610612766,CHA,Charlotte Hornets,Handoff,Offensive,0.629,75,0.105,0.973,0.456,0.053,0.187,0.053,0.0,0.4,0.561,75,73,26,57,31
55,22018,1629012,Collin Sexton,1610612739,CLE,Cleveland Cavaliers,Handoff,Offensive,0.427,82,0.054,0.878,0.459,0.11,0.159,0.11,0.012,0.427,0.484,82,72,28,61,33
56,22018,1628995,Kevin Knox II,1610612752,NYK,New York Knicks,Handoff,Offensive,0.122,75,0.1,0.619,0.268,0.088,0.062,0.088,0.009,0.292,0.294,113,70,26,97,71
57,22018,2548,Dwyane Wade,1610612748,MIA,Miami Heat,Handoff,Offensive,0.361,72,0.066,0.852,0.435,0.086,0.16,0.086,0.012,0.395,0.492,81,69,27,62,35
58,22018,203552,Seth Curry,1610612757,POR,Portland Trail Blazers,Handoff,Offensive,0.797,74,0.116,1.063,0.451,0.063,0.127,0.063,0.0,0.429,0.578,63,67,23,51,28
59,22018,201569,Eric Gordon,1610612745,HOU,Houston Rockets,Handoff,Offensive,0.374,68,0.072,0.859,0.368,0.051,0.09,0.051,0.013,0.346,0.463,78,67,25,68,43
60,22018,203585,Rodney McGruder,1610612748,MIA,Miami Heat,Handoff,Offensive,0.283,66,0.153,0.788,0.319,0.035,0.118,0.035,0.0,0.306,0.417,85,67,23,72,49
61,22018,1629029,Luka Doncic,1610612742,DAL,Dallas Mavericks,Handoff,Offensive,0.171,72,0.059,0.68,0.342,0.093,0.165,0.082,0.041,0.32,0.375,97,66,26,76,50
62,22018,202695,Kawhi Leonard,1610612761,TOR,Toronto Raptors,Handoff,Offensive,0.727,60,0.044,1.032,0.49,0.127,0.095,0.095,0.0,0.508,0.52,63,65,24,49,25
63,22018,1628973,Jalen Brunson,1610612742,DAL,Dallas Mavericks,Handoff,Offensive,0.822,73,0.082,1.086,0.542,0.069,0.121,0.069,0.017,0.5,0.594,58,63,26,48,22
64,22018,203926,Doug McDermott,1610612754,IND,Indiana Pacers,Handoff,Offensive,0.542,77,0.136,0.94,0.468,0.03,0.075,0.03,0.03,0.433,0.492,67,63,29,62,33
65,22018,1626164,Devin Booker,1610612756,PHX,Phoenix Suns,Handoff,Offensive,0.238,64,0.049,0.75,0.417,0.071,0.238,0.071,0.036,0.333,0.467,84,63,25,60,35
66,22018,203114,Khris Middleton,1610612749,MIL,Milwaukee Bucks,Handoff,Offensive,0.379,77,0.051,0.861,0.39,0.069,0.111,0.056,0.0,0.389,0.441,72,62,23,59,36
67,22018,201933,Blake Griffin,1610612765,DET,Detroit Pistons,Handoff,Offensive,0.983,75,0.023,1.419,0.541,0.209,0.023,0.186,0.093,0.581,0.676,43,61,20,37,17
68,22018,203484,Kentavious Caldwell-Pope,1610612747,LAL,Los Angeles Lakers,Handoff,Offensive,0.955,82,0.054,1.298,0.622,0.128,0.149,0.128,0.064,0.553,0.676,47,61,23,37,14
69,22018,202734,E'Twaun Moore,1610612740,NOP,New Orleans Pelicans,Handoff,Offensive,0.829,53,0.091,1.089,0.563,0.018,0.125,0.018,0.0,0.5,0.625,56,61,27,48,21
70,22018,1627763,Malcolm Brogdon,1610612749,MIL,Milwaukee Bucks,Handoff,Offensive,0.734,64,0.065,1.034,0.51,0.051,0.136,0.051,0.017,0.458,0.571,59,61,25,49,24
71,22018,1626159,Justise Winslow,1610612748,MIA,Miami Heat,Handoff,Offensive,0.836,66,0.057,1.093,0.5,0.056,0.093,0.037,0.0,0.481,0.587,54,59,23,46,23
72,22018,201988,Patty Mills,1610612759,SAS,San Antonio Spurs,Handoff,Offensive,0.367,82,0.086,0.855,0.375,0.014,0.072,0.014,0.014,0.348,0.453,69,59,24,64,40
73,22018,203918,Rodney Hood,1610612739,CLE,Cleveland Cavaliers,Handoff,Offensive,0.738,45,0.105,1.036,0.478,0.143,0.071,0.143,0.036,0.5,0.5,56,58,22,46,24
74,22018,203109,Jae Crowder,1610612762,UTA,Utah Jazz,Handoff,Offensive,0.399,80,0.069,0.866,0.311,0.045,0.06,0.03,0.015,0.313,0.451,67,58,19,61,42
75,22018,1628367,Josh Jackson,1610612756,PHX,Phoenix Suns,Handoff,Offensive,0.476,79,0.056,0.903,0.408,0.113,0.113,0.113,0.016,0.419,0.459,62,56,20,49,29
76,22018,202391,Jeremy Lin,1610612737,ATL,Atlanta Hawks,Handoff,Offensive,0.565,51,0.102,0.947,0.395,0.123,0.123,0.018,0.0,0.421,0.5,57,54,17,43,26
77,22018,201568,Danilo Gallinari,1610612746,LAC,LA Clippers,Handoff,Offensive,0.495,68,0.051,0.915,0.364,0.169,0.119,0.119,0.034,0.407,0.42,59,54,16,44,28
