,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
0,22016,201935,James Harden,1610612745,HOU,Houston Rockets,Misc,Offensive,0.873,81,0.059,0.768,0.4,0.275,0.435,0.058,0.0,0.377,0.513,138,106,16,40,24
1,22016,202322,John Wall,1610612764,WAS,Washington Wizards,Misc,Offensive,0.814,78,0.062,0.705,0.27,0.328,0.459,0.057,0.01,0.369,0.346,122,86,7,26,19
2,22016,202738,Isaiah Thomas,1610612738,BOS,Boston Celtics,Misc,Offensive,0.954,76,0.045,0.954,0.36,0.425,0.322,0.023,0.0,0.517,0.364,87,83,8,22,14
3,22016,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,Misc,Offensive,0.771,79,0.068,0.667,0.23,0.187,0.293,0.041,0.0,0.309,0.305,123,82,15,64,49
4,22016,203935,Marcus Smart,1610612738,BOS,Boston Celtics,Misc,Offensive,0.787,79,0.115,0.684,0.18,0.35,0.376,0.026,0.02,0.376,0.206,117,80,6,34,28
5,22016,203078,Bradley Beal,1610612764,WAS,Washington Wizards,Misc,Offensive,0.978,77,0.047,1.026,0.42,0.474,0.237,0.118,0.03,0.553,0.458,76,78,10,24,14
6,22016,101108,Chris Paul,1610612746,LAC,LA Clippers,Misc,Offensive,0.96,61,0.076,0.987,0.5,0.392,0.38,0.025,0.0,0.506,0.667,79,78,9,18,9
7,22016,201566,Russell Westbrook,1610612760,OKC,Oklahoma City Thunder,Misc,Offensive,0.642,81,0.048,0.583,0.28,0.258,0.477,0.045,0.01,0.318,0.292,132,77,10,36,26
8,22016,202710,Jimmy Butler,1610612741,CHI,Chicago Bulls,Misc,Offensive,0.903,76,0.055,0.817,0.4,0.355,0.355,0.086,0.03,0.441,0.417,93,76,12,30,18
9,22016,203076,Anthony Davis,1610612740,NOP,New Orleans Pelicans,Misc,Offensive,0.871,75,0.05,0.768,0.44,0.414,0.424,0.061,0.02,0.455,0.444,99,76,8,18,10
10,22016,203507,Giannis Antetokounmpo,1610612749,MIL,Milwaukee Bucks,Misc,Offensive,0.76,80,0.062,0.664,0.42,0.264,0.427,0.036,0.02,0.373,0.417,110,73,15,36,21
11,22016,201599,DeAndre Jordan,1610612746,LAC,LA Clippers,Misc,Offensive,0.561,81,0.158,0.529,0.6,0.486,0.478,0.007,0.0,0.391,0.6,138,73,3,5,2
12,22016,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,Misc,Offensive,0.949,75,0.038,0.944,0.57,0.403,0.431,0.042,0.03,0.486,0.643,72,68,8,14,6
13,22016,202326,DeMarcus Cousins,1610612758,SAC,Sacramento Kings,Misc,Offensive,0.757,55,0.066,0.66,0.3,0.359,0.379,0.019,0.0,0.427,0.315,103,68,8,27,19
14,22016,200794,Paul Millsap,1610612737,ATL,Atlanta Hawks,Misc,Offensive,0.914,69,0.058,0.842,0.41,0.342,0.382,0.066,0.01,0.447,0.455,76,64,9,22,13
15,22016,202691,Klay Thompson,1610612744,GSW,Golden State Warriors,Misc,Offensive,0.981,78,0.038,1.033,0.69,0.213,0.361,0.066,0.05,0.492,0.724,61,63,20,29,9
16,22016,203497,Rudy Gobert,1610612762,UTA,Utah Jazz,Misc,Offensive,0.508,81,0.128,0.5,0.33,0.349,0.603,0.032,0.0,0.333,0.333,126,63,2,6,4
17,22016,202695,Kawhi Leonard,1610612759,SAS,San Antonio Spurs,Misc,Offensive,0.957,74,0.037,0.984,0.35,0.452,0.258,0.048,0.03,0.532,0.375,62,61,7,20,13
18,22016,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,Misc,Offensive,0.668,82,0.053,0.596,0.39,0.222,0.515,0.051,0.02,0.303,0.411,99,59,11,28,17
19,22016,203999,Nikola Jokic,1610612743,DEN,Denver Nuggets,Misc,Offensive,0.582,73,0.097,0.541,0.5,0.202,0.615,0.009,0.0,0.294,0.525,109,59,10,20,10
20,22016,201144,Mike Conley,1610612763,MEM,Memphis Grizzlies,Misc,Offensive,0.86,69,0.061,0.734,0.27,0.291,0.354,0.038,0.03,0.354,0.333,79,58,8,30,22
21,22016,202355,Hassan Whiteside,1610612748,MIA,Miami Heat,Misc,Offensive,0.615,77,0.077,0.566,0.7,0.202,0.576,0.04,0.01,0.343,0.696,99,56,16,23,7
22,22016,201952,Jeff Teague,1610612754,IND,Indiana Pacers,Misc,Offensive,0.739,82,0.065,0.643,0.26,0.286,0.452,0.071,0.01,0.333,0.283,84,54,6,23,17
23,22016,203952,Andrew Wiggins,1610612750,MIN,Minnesota Timberwolves,Misc,Offensive,0.887,82,0.034,0.791,0.36,0.343,0.269,0.075,0.03,0.448,0.393,67,53,10,28,18
24,22016,200755,JJ Redick,1610612746,LAC,LA Clippers,Misc,Offensive,0.976,78,0.048,1.02,0.58,0.451,0.333,0.02,0.02,0.549,0.667,51,52,7,12,5
