,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
0,22016,202355,Hassan Whiteside,1610612748,MIA,Miami Heat,OffRebound,Offensive,0.625,77,0.2,1.136,0.583,0.205,0.039,0.202,0.043,0.601,0.583,258,293,119,204,85
1,22016,203083,Andre Drummond,1610612765,DET,Detroit Pistons,OffRebound,Offensive,0.416,81,0.231,1.018,0.561,0.171,0.057,0.167,0.046,0.534,0.561,281,286,129,230,101
2,22016,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,OffRebound,Offensive,0.88,82,0.11,1.325,0.669,0.16,0.063,0.16,0.058,0.655,0.672,206,273,115,172,57
3,22016,2730,Dwight Howard,1610612737,ATL,Atlanta Hawks,OffRebound,Offensive,0.784,74,0.219,1.235,0.675,0.254,0.038,0.249,0.047,0.648,0.675,213,263,108,160,52
4,22016,203497,Rudy Gobert,1610612762,UTA,Utah Jazz,OffRebound,Offensive,0.581,81,0.218,1.112,0.568,0.2,0.056,0.2,0.023,0.586,0.568,215,239,92,162,70
5,22016,201599,DeAndre Jordan,1610612746,LAC,LA Clippers,OffRebound,Offensive,0.478,81,0.248,1.051,0.571,0.147,0.041,0.143,0.009,0.562,0.571,217,228,101,177,76
6,22016,202683,Enes Kanter,1610612760,OKC,Oklahoma City Thunder,OffRebound,Offensive,0.629,72,0.17,1.138,0.574,0.126,0.054,0.126,0.03,0.575,0.574,167,190,81,141,60
7,22016,2216,Zach Randolph,1610612763,MEM,Memphis Grizzlies,OffRebound,Offensive,0.68,73,0.133,1.163,0.561,0.157,0.013,0.163,0.046,0.582,0.561,153,178,74,132,58
8,22016,203076,Anthony Davis,1610612740,NOP,New Orleans Pelicans,OffRebound,Offensive,0.904,75,0.066,1.336,0.673,0.16,0.038,0.153,0.023,0.672,0.673,131,175,72,107,35
9,22016,203999,Nikola Jokic,1610612743,DEN,Denver Nuggets,OffRebound,Offensive,0.79,73,0.126,1.241,0.619,0.099,0.035,0.099,0.028,0.617,0.619,141,175,78,126,48
