,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
0,22017,202691,Klay Thompson,1610612744,GSW,Golden State Warriors,OffScreen,Offensive,0.735,73,0.334,1.098,0.471,0.022,0.049,0.022,0.004,0.458,0.569,450,494,198,420,222
1,22017,203078,Bradley Beal,1610612764,WAS,Washington Wizards,OffScreen,Offensive,0.55,82,0.156,1.0,0.394,0.077,0.063,0.066,0.01,0.409,0.5,286,286,98,249,151
2,22017,202331,Paul George,1610612760,OKC,Oklahoma City Thunder,OffScreen,Offensive,0.711,79,0.141,1.091,0.424,0.095,0.066,0.086,0.004,0.449,0.544,243,265,87,205,118
3,22017,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,OffScreen,Offensive,0.908,51,0.178,1.266,0.462,0.128,0.054,0.118,0.025,0.488,0.608,203,257,79,171,92
4,22017,2594,Kyle Korver,1610612739,CLE,Cleveland Cavaliers,OffScreen,Offensive,0.892,73,0.366,1.255,0.487,0.015,0.064,0.015,0.005,0.461,0.661,204,256,92,189,97
5,22017,203459,Allen Crabbe,1610612751,BKN,Brooklyn Nets,OffScreen,Offensive,0.707,75,0.239,1.084,0.401,0.075,0.053,0.075,0.022,0.412,0.527,226,245,81,202,121
6,22017,202711,Bojan Bogdanovic,1610612754,IND,Indiana Pacers,OffScreen,Offensive,0.635,80,0.212,1.05,0.45,0.095,0.059,0.095,0.014,0.468,0.524,220,231,85,189,104
7,22017,200755,JJ Redick,1610612755,PHI,Philadelphia 76ers,OffScreen,Offensive,0.823,70,0.173,1.158,0.459,0.104,0.066,0.093,0.038,0.464,0.566,183,212,73,159,86
8,22017,203468,CJ McCollum,1610612757,POR,Portland Trail Blazers,OffScreen,Offensive,0.506,81,0.117,0.985,0.414,0.039,0.034,0.039,0.0,0.422,0.49,206,203,79,191,112
9,22017,203584,Troy Daniels,1610612756,PHX,Phoenix Suns,OffScreen,Offensive,0.586,79,0.284,1.005,0.386,0.027,0.054,0.027,0.0,0.382,0.518,186,187,66,171,105
10,22017,1626164,Devin Booker,1610612756,PHX,Phoenix Suns,OffScreen,Offensive,0.695,54,0.124,1.076,0.437,0.053,0.076,0.035,0.012,0.427,0.566,171,184,66,151,85
11,22017,201961,Wayne Ellington,1610612748,MIA,Miami Heat,OffScreen,Offensive,0.863,77,0.196,1.199,0.424,0.02,0.04,0.02,0.013,0.411,0.615,151,181,61,144,83
12,22017,1627752,Taurean Prince,1610612737,ATL,Atlanta Hawks,OffScreen,Offensive,0.602,82,0.143,1.011,0.387,0.068,0.068,0.057,0.017,0.386,0.516,176,178,60,155,95
13,22017,203095,Evan Fournier,1610612753,ORL,Orlando Magic,OffScreen,Offensive,0.365,57,0.201,0.892,0.382,0.072,0.056,0.056,0.015,0.395,0.439,195,174,66,173,107
14,22017,203484,Kentavious Caldwell-Pope,1610612747,LAL,Los Angeles Lakers,OffScreen,Offensive,0.498,74,0.18,0.983,0.385,0.046,0.057,0.04,0.0,0.385,0.503,174,171,60,156,96
15,22017,201142,Kevin Durant,1610612744,GSW,Golden State Warriors,OffScreen,Offensive,0.867,68,0.089,1.206,0.504,0.092,0.071,0.071,0.035,0.496,0.606,141,170,62,123,61
16,22017,204060,Joe Ingles,1610612762,UTA,Utah Jazz,OffScreen,Offensive,0.851,82,0.155,1.184,0.483,0.035,0.142,0.035,0.0,0.433,0.685,141,167,56,116,60
17,22017,203933,T.J. Warren,1610612756,PHX,Phoenix Suns,OffScreen,Offensive,0.464,65,0.136,0.947,0.43,0.099,0.029,0.094,0.012,0.468,0.434,171,162,65,151,86
18,22017,101139,CJ Miles,1610612761,TOR,Toronto Raptors,OffScreen,Offensive,0.631,70,0.226,1.046,0.358,0.086,0.033,0.079,0.02,0.388,0.5,152,159,49,137,88
19,22017,201587,Nicolas Batum,1610612766,CHA,Charlotte Hornets,OffScreen,Offensive,0.442,64,0.203,0.94,0.367,0.054,0.06,0.048,0.012,0.369,0.467,168,158,55,150,95
20,22017,201942,DeMar DeRozan,1610612761,TOR,Toronto Raptors,OffScreen,Offensive,0.643,80,0.08,1.055,0.496,0.103,0.076,0.097,0.014,0.503,0.537,145,153,60,121,61
21,22017,203490,Otto Porter Jr.,1610612764,WAS,Washington Wizards,OffScreen,Offensive,0.964,77,0.109,1.369,0.581,0.036,0.027,0.036,0.009,0.577,0.69,111,152,61,105,44
22,22017,202681,Kyrie Irving,1610612738,BOS,Boston Celtics,OffScreen,Offensive,0.811,60,0.095,1.151,0.447,0.079,0.048,0.063,0.032,0.452,0.561,126,145,51,114,63
23,22017,204001,Kristaps Porzingis,1610612752,NYK,New York Knicks,OffScreen,Offensive,0.763,49,0.119,1.107,0.478,0.122,0.015,0.115,0.015,0.519,0.535,131,145,55,115,60
24,22017,203084,Harrison Barnes,1610612742,DAL,Dallas Mavericks,OffScreen,Offensive,0.41,77,0.104,0.921,0.408,0.079,0.073,0.079,0.013,0.411,0.465,151,139,53,130,77
25,22017,202083,Wesley Matthews,1610612742,DAL,Dallas Mavericks,OffScreen,Offensive,0.426,63,0.179,0.932,0.354,0.048,0.068,0.041,0.0,0.361,0.469,147,137,46,130,84
26,22017,203925,Joe Harris,1610612751,BKN,Brooklyn Nets,OffScreen,Offensive,0.759,78,0.162,1.107,0.431,0.074,0.107,0.066,0.016,0.418,0.583,122,135,44,102,58
27,22017,201569,Eric Gordon,1610612745,HOU,Houston Rockets,OffScreen,Offensive,0.59,69,0.112,1.008,0.406,0.12,0.098,0.113,0.015,0.429,0.528,133,134,43,106,63
28,22017,201158,Marco Belinelli,1610612737,ATL,Atlanta Hawks,OffScreen,Offensive,0.594,52,0.226,1.008,0.372,0.099,0.053,0.084,0.015,0.405,0.46,131,132,42,113,71
29,22017,203501,Tim Hardaway Jr.,1610612752,NYK,New York Knicks,OffScreen,Offensive,0.723,59,0.116,1.092,0.471,0.092,0.034,0.084,0.0,0.504,0.534,119,130,49,104,55
30,22017,1626179,Terry Rozier,1610612738,BOS,Boston Celtics,OffScreen,Offensive,0.802,80,0.119,1.143,0.41,0.045,0.018,0.036,0.0,0.429,0.571,112,128,43,105,62
31,22017,1627741,Buddy Hield,1610612758,SAC,Sacramento Kings,OffScreen,Offensive,0.767,80,0.106,1.113,0.49,0.017,0.104,0.017,0.009,0.443,0.608,115,128,50,102,52
32,22017,201156,Nick Young,1610612744,GSW,Golden State Warriors,OffScreen,Offensive,0.675,80,0.218,1.067,0.404,0.083,0.05,0.067,0.0,0.433,0.51,120,128,42,104,62
33,22017,1628378,Donovan Mitchell,1610612762,UTA,Utah Jazz,OffScreen,Offensive,0.502,79,0.072,0.984,0.386,0.057,0.041,0.057,0.024,0.39,0.491,123,121,44,114,70
34,22017,201975,Jodie Meeks,1610612764,WAS,Washington Wizards,OffScreen,Offensive,0.482,77,0.263,0.968,0.371,0.137,0.032,0.145,0.024,0.427,0.429,124,120,39,105,66
35,22017,1627750,Jamal Murray,1610612743,DEN,Denver Nuggets,OffScreen,Offensive,0.871,81,0.073,1.216,0.482,0.103,0.062,0.103,0.052,0.474,0.606,97,118,41,85,44
36,22017,202734,E'Twaun Moore,1610612740,NOP,New Orleans Pelicans,OffScreen,Offensive,0.691,82,0.112,1.074,0.553,0.037,0.102,0.037,0.009,0.509,0.596,108,116,52,94,42
37,22017,203145,Kent Bazemore,1610612737,ATL,Atlanta Hawks,OffScreen,Offensive,0.598,65,0.119,1.009,0.486,0.156,0.193,0.165,0.037,0.45,0.561,109,110,36,74,38
38,22017,1628374,Lauri Markkanen,1610612741,CHI,Chicago Bulls,OffScreen,Offensive,0.614,68,0.105,1.028,0.388,0.066,0.028,0.066,0.019,0.406,0.49,106,109,38,98,60
