,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
0,22015,202704,Reggie Jackson,1610612765,DET,Detroit Pistons,PRBallHandler,Offensive,0.772,79,0.559,0.876,0.445,0.079,0.142,0.073,0.02,0.413,0.476,896,785,318,715,397
1,22015,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,PRBallHandler,Offensive,0.848,75,0.43,0.921,0.412,0.114,0.136,0.096,0.023,0.409,0.478,815,751,259,628,369
2,22015,101108,Chris Paul,1610612746,LAC,LA Clippers,PRBallHandler,Offensive,0.89,75,0.519,0.941,0.47,0.077,0.126,0.039,0.009,0.445,0.503,749,705,284,604,320
3,22015,202689,Kemba Walker,1610612766,CHA,Charlotte Hornets,PRBallHandler,Offensive,0.807,81,0.467,0.894,0.415,0.101,0.109,0.084,0.009,0.418,0.462,789,705,261,629,368
4,22015,201566,Russell Westbrook,1610612760,OKC,Oklahoma City Thunder,PRBallHandler,Offensive,0.707,80,0.354,0.85,0.436,0.127,0.199,0.107,0.022,0.406,0.477,722,614,219,502,283
5,22015,203468,CJ McCollum,1610612757,POR,Portland Trail Blazers,PRBallHandler,Offensive,0.855,80,0.374,0.924,0.466,0.067,0.137,0.059,0.016,0.43,0.504,642,593,243,521,278
6,22015,201942,DeMar DeRozan,1610612761,TOR,Toronto Raptors,PRBallHandler,Offensive,0.928,78,0.324,0.992,0.481,0.17,0.108,0.153,0.03,0.497,0.483,593,588,214,445,231
7,22015,201935,James Harden,1610612745,HOU,Houston Rockets,PRBallHandler,Offensive,0.914,82,0.259,0.97,0.446,0.2,0.215,0.177,0.026,0.446,0.492,606,588,165,370,205
8,22015,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,PRBallHandler,Offensive,0.976,79,0.262,1.11,0.481,0.08,0.141,0.067,0.021,0.443,0.611,526,584,202,420,218
9,22015,201950,Jrue Holiday,1610612740,NOP,New Orleans Pelicans,PRBallHandler,Offensive,0.752,65,0.517,0.867,0.425,0.083,0.126,0.071,0.019,0.408,0.456,618,536,213,501,288
10,22015,202322,John Wall,1610612764,WAS,Washington Wizards,PRBallHandler,Offensive,0.383,77,0.402,0.727,0.402,0.05,0.179,0.044,0.007,0.354,0.423,721,524,225,560,335
11,22015,200768,Kyle Lowry,1610612761,TOR,Toronto Raptors,PRBallHandler,Offensive,0.738,77,0.357,0.863,0.404,0.125,0.162,0.108,0.014,0.402,0.46,582,502,171,423,252
12,22015,202738,Isaiah Thomas,1610612738,BOS,Boston Celtics,PRBallHandler,Offensive,0.728,82,0.31,0.857,0.386,0.144,0.146,0.102,0.016,0.408,0.426,568,487,159,412,253
13,22015,201565,Derrick Rose,1610612741,CHI,Chicago Bulls,PRBallHandler,Offensive,0.683,66,0.435,0.842,0.444,0.076,0.123,0.073,0.027,0.414,0.448,563,474,207,466,259
14,22015,2548,Dwyane Wade,1610612748,MIA,Miami Heat,PRBallHandler,Offensive,0.698,74,0.348,0.846,0.441,0.121,0.148,0.112,0.015,0.434,0.442,546,462,179,406,227
