,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
0,22015,203076,Anthony Davis,1610612740,NOP,New Orleans Pelicans,PRRollMan,Offensive,0.63,61,0.247,1.06,0.503,0.134,0.045,0.131,0.02,0.52,0.522,352,373,149,296,147
1,22015,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,PRRollMan,Offensive,0.37,82,0.248,0.953,0.477,0.098,0.087,0.092,0.034,0.466,0.485,358,341,145,304,159
2,22015,201143,Al Horford,1610612737,ATL,Atlanta Hawks,PRRollMan,Offensive,0.785,82,0.247,1.13,0.542,0.063,0.04,0.06,0.017,0.538,0.571,301,340,149,275,126
3,22015,201572,Brook Lopez,1610612751,BKN,Brooklyn Nets,PRRollMan,Offensive,0.466,73,0.212,0.987,0.491,0.107,0.063,0.107,0.038,0.489,0.491,319,315,136,277,141
4,22015,101162,Marcin Gortat,1610612764,WAS,Washington Wizards,PRRollMan,Offensive,0.863,75,0.231,1.212,0.615,0.128,0.053,0.124,0.044,0.602,0.615,226,274,120,195,75
5,22015,202326,DeMarcus Cousins,1610612758,SAC,Sacramento Kings,PRRollMan,Offensive,0.452,65,0.148,0.982,0.465,0.169,0.083,0.165,0.032,0.489,0.486,278,273,101,217,116
6,22015,2200,Pau Gasol,1610612741,CHI,Chicago Bulls,PRRollMan,Offensive,0.475,72,0.212,0.993,0.494,0.106,0.062,0.081,0.015,0.509,0.498,273,271,114,231,117
7,22015,202355,Hassan Whiteside,1610612748,MIA,Miami Heat,PRRollMan,Offensive,0.941,73,0.208,1.342,0.7,0.176,0.065,0.166,0.05,0.673,0.7,199,267,112,160,48
8,22015,201586,Serge Ibaka,1610612760,OKC,Oklahoma City Thunder,PRRollMan,Offensive,0.397,78,0.269,0.96,0.494,0.058,0.069,0.054,0.011,0.48,0.494,277,266,121,245,124
9,22015,2547,Chris Bosh,1610612748,MIA,Miami Heat,PRRollMan,Offensive,0.731,53,0.244,1.106,0.467,0.153,0.051,0.149,0.034,0.506,0.541,235,260,91,195,104
10,22015,201599,DeAndre Jordan,1610612746,LAC,LA Clippers,PRRollMan,Offensive,0.973,77,0.203,1.403,0.821,0.26,0.061,0.249,0.061,0.746,0.821,181,254,110,134,24
11,22015,1717,Dirk Nowitzki,1610612742,DAL,Dallas Mavericks,PRRollMan,Offensive,0.564,75,0.186,1.033,0.434,0.053,0.049,0.049,0.008,0.439,0.52,244,252,96,221,125
12,22015,200794,Paul Millsap,1610612737,ATL,Atlanta Hawks,PRRollMan,Offensive,0.438,81,0.18,0.973,0.431,0.124,0.093,0.105,0.027,0.438,0.502,258,251,90,209,119
13,22015,202324,Derrick Favors,1610612762,UTA,Utah Jazz,PRRollMan,Offensive,0.726,62,0.221,1.106,0.549,0.164,0.066,0.142,0.044,0.553,0.549,226,250,101,184,83
14,22015,201160,Jason Smith,1610612753,ORL,Orlando Magic,PRRollMan,Offensive,0.534,76,0.404,1.004,0.511,0.029,0.042,0.029,0.0,0.504,0.511,238,239,113,221,108
15,22015,200746,LaMarcus Aldridge,1610612759,SAS,San Antonio Spurs,PRRollMan,Offensive,0.283,74,0.202,0.903,0.452,0.089,0.066,0.093,0.016,0.457,0.452,258,233,100,221,121
16,22015,201188,Marc Gasol,1610612763,MEM,Memphis Grizzlies,PRRollMan,Offensive,0.689,52,0.221,1.087,0.537,0.116,0.068,0.092,0.029,0.536,0.537,207,225,94,175,81
17,22015,201152,Thaddeus Young,1610612751,BKN,Brooklyn Nets,PRRollMan,Offensive,0.612,73,0.181,1.042,0.559,0.047,0.085,0.047,0.009,0.519,0.562,212,221,104,186,82
18,22015,203083,Andre Drummond,1610612765,DET,Detroit Pistons,PRRollMan,Offensive,0.717,81,0.132,1.103,0.623,0.17,0.062,0.17,0.036,0.577,0.623,194,214,96,154,58
19,22015,203469,Cody Zeller,1610612766,CHA,Charlotte Hornets,PRRollMan,Offensive,0.881,73,0.288,1.217,0.59,0.211,0.063,0.194,0.04,0.623,0.59,175,213,79,134,55
20,22015,202696,Nikola Vucevic,1610612753,ORL,Orlando Magic,PRRollMan,Offensive,0.333,65,0.184,0.934,0.495,0.044,0.093,0.044,0.022,0.46,0.495,226,211,99,200,101
21,22015,202683,Enes Kanter,1610612760,OKC,Oklahoma City Thunder,PRRollMan,Offensive,0.703,82,0.202,1.095,0.558,0.121,0.089,0.121,0.032,0.542,0.558,190,208,87,156,69
22,22015,201567,Kevin Love,1610612739,CLE,Cleveland Cavaliers,PRRollMan,Offensive,0.374,77,0.153,0.953,0.396,0.114,0.062,0.114,0.0,0.435,0.478,193,184,63,159,96
23,22015,201583,Ryan Anderson,1610612740,NOP,New Orleans Pelicans,PRRollMan,Offensive,0.635,66,0.151,1.065,0.421,0.131,0.06,0.125,0.024,0.458,0.514,168,179,59,140,81
24,22015,203476,Gorgui Dieng,1610612750,MIN,Minnesota Timberwolves,PRRollMan,Offensive,0.352,82,0.223,0.946,0.478,0.162,0.135,0.151,0.032,0.476,0.478,185,175,65,136,71
