,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
0,22016,1626157,Karl-Anthony Towns,1610612750,MIN,Minnesota Timberwolves,Postup,Offensive,0.863,82,0.255,1.029,0.547,0.117,0.128,0.099,0.025,0.518,0.547,477,491,203,371,168
1,22016,201188,Marc Gasol,1610612763,MEM,Memphis Grizzlies,Postup,Offensive,0.7,74,0.32,0.938,0.466,0.154,0.109,0.136,0.028,0.478,0.466,469,440,166,356,190
2,22016,201572,Brook Lopez,1610612751,BKN,Brooklyn Nets,Postup,Offensive,0.758,75,0.27,0.968,0.523,0.175,0.182,0.158,0.044,0.485,0.523,406,393,145,277,132
3,22016,200746,LaMarcus Aldridge,1610612759,SAS,San Antonio Spurs,Postup,Offensive,0.453,72,0.327,0.865,0.429,0.118,0.087,0.116,0.019,0.441,0.429,415,359,144,336,192
4,22016,202326,DeMarcus Cousins,1610612758,SAC,Sacramento Kings,Postup,Offensive,0.695,55,0.209,0.936,0.459,0.233,0.153,0.196,0.037,0.482,0.459,326,305,96,209,113
5,22016,2216,Zach Randolph,1610612763,MEM,Memphis Grizzlies,Postup,Offensive,0.342,73,0.323,0.822,0.433,0.089,0.113,0.073,0.008,0.429,0.433,371,305,129,298,169
6,22016,202683,Enes Kanter,1610612760,OKC,Oklahoma City Thunder,Postup,Offensive,0.847,72,0.3,1.02,0.576,0.18,0.183,0.166,0.034,0.522,0.576,295,301,114,198,84
7,22016,202355,Hassan Whiteside,1610612748,MIA,Miami Heat,Postup,Offensive,0.337,77,0.262,0.819,0.458,0.128,0.157,0.116,0.033,0.424,0.458,337,276,115,251,136
8,22016,203076,Anthony Davis,1610612740,NOP,New Orleans Pelicans,Postup,Offensive,0.579,75,0.155,0.902,0.413,0.187,0.105,0.164,0.026,0.456,0.413,305,275,92,223,131
9,22016,203084,Harrison Barnes,1610612742,DAL,Dallas Mavericks,Postup,Offensive,0.816,79,0.178,0.993,0.476,0.116,0.056,0.101,0.026,0.496,0.476,268,266,109,229,120
10,22016,202328,Greg Monroe,1610612749,MIL,Milwaukee Bucks,Postup,Offensive,0.563,81,0.306,0.899,0.471,0.132,0.149,0.132,0.041,0.446,0.471,296,266,106,225,119
11,22016,2546,Carmelo Anthony,1610612752,NYK,New York Knicks,Postup,Offensive,0.626,74,0.167,0.919,0.421,0.166,0.088,0.163,0.021,0.466,0.421,283,260,91,216,125
12,22016,203999,Nikola Jokic,1610612743,DEN,Denver Nuggets,Postup,Offensive,0.947,73,0.208,1.116,0.579,0.142,0.121,0.125,0.03,0.556,0.579,232,259,103,178,75
13,22016,201143,Al Horford,1610612738,BOS,Boston Celtics,Postup,Offensive,0.679,68,0.282,0.934,0.482,0.132,0.121,0.117,0.051,0.458,0.482,273,255,105,218,113
14,22016,2744,Al Jefferson,1610612754,IND,Indiana Pacers,Postup,Offensive,0.789,66,0.462,0.984,0.475,0.108,0.036,0.1,0.02,0.5,0.475,250,246,104,219,115
15,22016,203083,Andre Drummond,1610612765,DET,Detroit Pistons,Postup,Offensive,0.195,81,0.275,0.734,0.419,0.093,0.099,0.09,0.018,0.379,0.419,335,246,116,277,161
16,22016,2730,Dwight Howard,1610612737,ATL,Atlanta Hawks,Postup,Offensive,0.379,74,0.28,0.838,0.479,0.272,0.162,0.239,0.04,0.467,0.479,272,228,79,165,86
17,22016,201933,Blake Griffin,1610612746,LAC,LA Clippers,Postup,Offensive,0.653,61,0.188,0.927,0.471,0.147,0.11,0.127,0.033,0.469,0.471,245,227,89,189,100
18,22016,200794,Paul Millsap,1610612737,ATL,Atlanta Hawks,Postup,Offensive,0.832,69,0.169,1.004,0.467,0.256,0.103,0.224,0.04,0.525,0.467,223,224,71,152,81
19,22016,201567,Kevin Love,1610612739,CLE,Cleveland Cavaliers,Postup,Offensive,0.447,61,0.232,0.865,0.395,0.212,0.135,0.17,0.031,0.448,0.395,259,224,70,177,107
20,22016,202696,Nikola Vucevic,1610612753,ORL,Orlando Magic,Postup,Offensive,0.268,75,0.226,0.797,0.446,0.04,0.127,0.029,0.011,0.402,0.446,276,220,104,233,129
21,22016,201942,DeMar DeRozan,1610612761,TOR,Toronto Raptors,Postup,Offensive,0.968,74,0.09,1.133,0.521,0.206,0.061,0.206,0.044,0.567,0.521,180,204,73,140,67
22,22016,2544,LeBron James,1610612739,CLE,Cleveland Cavaliers,Postup,Offensive,0.716,74,0.113,0.943,0.509,0.148,0.134,0.124,0.057,0.474,0.509,209,197,82,161,79
23,22016,202685,Jonas Valanciunas,1610612761,TOR,Toronto Raptors,Postup,Offensive,0.558,80,0.242,0.895,0.471,0.114,0.123,0.118,0.032,0.45,0.471,220,197,82,174,92
24,22016,203952,Andrew Wiggins,1610612750,MIN,Minnesota Timberwolves,Postup,Offensive,0.474,82,0.113,0.871,0.415,0.142,0.058,0.12,0.018,0.449,0.415,225,196,76,183,107
25,22016,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,Postup,Offensive,0.516,31,0.322,0.877,0.468,0.226,0.217,0.203,0.033,0.458,0.468,212,186,58,124,66
26,22016,202693,Markieff Morris,1610612764,WAS,Washington Wizards,Postup,Offensive,0.511,76,0.188,0.876,0.44,0.148,0.119,0.133,0.024,0.457,0.44,210,184,70,159,89
27,22016,203500,Steven Adams,1610612760,OKC,Oklahoma City Thunder,Postup,Offensive,0.358,80,0.232,0.831,0.481,0.099,0.174,0.094,0.023,0.427,0.481,213,177,77,160,83
28,22016,1626143,Jahlil Okafor,1610612755,PHI,Philadelphia 76ers,Postup,Offensive,0.426,50,0.316,0.855,0.444,0.14,0.125,0.13,0.03,0.44,0.444,200,171,68,153,85
29,22016,101162,Marcin Gortat,1610612764,WAS,Washington Wizards,Postup,Offensive,0.721,82,0.204,0.943,0.51,0.08,0.114,0.074,0.017,0.483,0.51,176,166,74,145,71
30,22016,201566,Russell Westbrook,1610612760,OKC,Oklahoma City Thunder,Postup,Offensive,0.363,81,0.072,0.832,0.415,0.137,0.127,0.142,0.015,0.426,0.415,197,164,61,147,86
31,22016,1717,Dirk Nowitzki,1610612742,DAL,Dallas Mavericks,Postup,Offensive,0.732,54,0.213,0.945,0.433,0.128,0.037,0.098,0.03,0.47,0.433,164,155,61,141,80
32,22016,201959,Taj Gibson,1610612741,CHI,Chicago Bulls,Postup,Offensive,0.747,55,0.237,0.962,0.521,0.141,0.128,0.135,0.032,0.487,0.521,156,150,62,119,57
33,22016,203507,Giannis Antetokounmpo,1610612749,MIL,Milwaukee Bucks,Postup,Offensive,0.684,80,0.086,0.934,0.5,0.171,0.151,0.145,0.033,0.48,0.5,152,142,54,108,54
34,22016,201586,Serge Ibaka,1610612753,ORL,Orlando Magic,Postup,Offensive,0.495,56,0.197,0.874,0.456,0.057,0.101,0.031,0.013,0.434,0.456,159,139,62,136,74
35,22016,201568,Danilo Gallinari,1610612743,DEN,Denver Nuggets,Postup,Offensive,0.984,63,0.115,1.2,0.519,0.287,0.07,0.243,0.043,0.591,0.519,115,138,41,79,38
36,22016,202695,Kawhi Leonard,1610612759,SAS,San Antonio Spurs,Postup,Offensive,0.795,74,0.081,0.985,0.51,0.153,0.131,0.124,0.044,0.489,0.51,137,135,53,104,51
37,22016,204001,Kristaps Porzingis,1610612752,NYK,New York Knicks,Postup,Offensive,0.305,66,0.137,0.813,0.371,0.169,0.108,0.163,0.024,0.422,0.371,166,135,46,124,78
38,22016,2200,Pau Gasol,1610612759,SAS,San Antonio Spurs,Postup,Offensive,0.489,64,0.196,0.874,0.443,0.185,0.139,0.172,0.033,0.457,0.443,151,132,47,106,59
39,22016,201577,Robin Lopez,1610612741,CHI,Chicago Bulls,Postup,Offensive,0.537,81,0.162,0.885,0.454,0.068,0.068,0.054,0.014,0.453,0.454,148,131,59,130,71
40,22016,2548,Dwyane Wade,1610612741,CHI,Chicago Bulls,Postup,Offensive,0.616,60,0.107,0.915,0.463,0.108,0.092,0.1,0.031,0.462,0.463,130,119,50,108,58
41,22016,202699,Tobias Harris,1610612765,DET,Detroit Pistons,Postup,Offensive,0.858,82,0.091,1.026,0.505,0.149,0.079,0.105,0.026,0.526,0.505,114,117,46,91,45
42,22016,203994,Jusuf Nurkic,1610612743,DEN,Denver Nuggets,Postup,Offensive,0.174,45,0.355,0.714,0.411,0.149,0.162,0.149,0.006,0.403,0.411,154,110,44,107,63
43,22016,201587,Nicolas Batum,1610612766,CHA,Charlotte Hornets,Postup,Offensive,0.753,77,0.089,0.964,0.464,0.179,0.134,0.188,0.071,0.455,0.464,112,108,39,84,45
44,22016,202710,Jimmy Butler,1610612741,CHI,Chicago Bulls,Postup,Offensive,0.911,76,0.059,1.07,0.481,0.19,0.04,0.18,0.03,0.54,0.481,100,107,38,79,41
