,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
0,22018,203109,Jae Crowder,1610612762,UTA,Utah Jazz,Spotup,Offensive,0.711,80,0.439,1.066,0.394,0.083,0.045,0.075,0.026,0.41,0.533,424,452,150,381,231
1,22018,201569,Eric Gordon,1610612745,HOU,Houston Rockets,Spotup,Offensive,0.851,68,0.324,1.139,0.422,0.034,0.034,0.031,0.008,0.419,0.584,353,402,140,332,192
2,22018,201572,Brook Lopez,1610612749,MIL,Milwaukee Bucks,Spotup,Offensive,0.798,81,0.391,1.114,0.409,0.047,0.042,0.044,0.006,0.417,0.568,360,401,135,330,195
3,22018,1627854,Bryn Forbes,1610612759,SAS,San Antonio Spurs,Spotup,Offensive,0.925,82,0.36,1.216,0.458,0.052,0.04,0.049,0.022,0.457,0.606,324,394,138,301,163
4,22018,203924,Jerami Grant,1610612760,OKC,Oklahoma City Thunder,Spotup,Offensive,0.671,79,0.354,1.05,0.407,0.061,0.056,0.056,0.009,0.406,0.549,342,359,124,305,181
5,22018,202694,Marcus Morris Sr.,1610612738,BOS,Boston Celtics,Spotup,Offensive,0.814,75,0.312,1.124,0.431,0.06,0.054,0.054,0.013,0.432,0.565,315,354,122,283,161
6,22018,202722,Davis Bertans,1610612759,SAS,San Antonio Spurs,Spotup,Offensive,0.917,76,0.554,1.206,0.424,0.049,0.035,0.042,0.021,0.425,0.597,287,346,114,269,155
7,22018,1627741,Buddy Hield,1610612758,SAC,Sacramento Kings,Spotup,Offensive,0.881,82,0.188,1.166,0.423,0.03,0.044,0.024,0.0,0.422,0.6,296,345,116,274,158
8,22018,201980,Danny Green,1610612761,TOR,Toronto Raptors,Spotup,Offensive,0.98,80,0.356,1.329,0.488,0.012,0.043,0.008,0.0,0.473,0.693,258,343,119,244,125
9,22018,1627736,Malik Beasley,1610612743,DEN,Denver Nuggets,Spotup,Offensive,0.929,81,0.333,1.221,0.459,0.026,0.033,0.022,0.004,0.456,0.625,272,332,118,257,139
10,22018,202329,Al-Farouq Aminu,1610612757,POR,Portland Trail Blazers,Spotup,Offensive,0.41,81,0.47,0.945,0.364,0.052,0.066,0.046,0.003,0.371,0.487,348,329,112,308,196
11,22018,1627759,Jaylen Brown,1610612738,BOS,Boston Celtics,Spotup,Offensive,0.638,74,0.321,1.038,0.412,0.07,0.048,0.07,0.019,0.419,0.528,315,327,117,284,167
12,22018,200782,P.J. Tucker,1610612745,HOU,Houston Rockets,Spotup,Offensive,0.608,82,0.513,1.022,0.365,0.01,0.041,0.01,0.0,0.356,0.53,315,322,109,299,190
13,22018,201960,DeMarre Carroll,1610612751,BKN,Brooklyn Nets,Spotup,Offensive,0.594,67,0.405,1.016,0.375,0.149,0.049,0.133,0.016,0.43,0.49,309,314,95,253,158
14,22018,1628995,Kevin Knox II,1610612752,NYK,New York Knicks,Spotup,Offensive,0.428,75,0.291,0.954,0.381,0.052,0.088,0.052,0.009,0.371,0.51,329,314,109,286,177
15,22018,1627763,Malcolm Brogdon,1610612749,MIL,Milwaukee Bucks,Spotup,Offensive,0.949,64,0.277,1.248,0.52,0.048,0.052,0.048,0.0,0.516,0.644,250,312,117,225,108
16,22018,201145,Jeff Green,1610612764,WAS,Washington Wizards,Spotup,Offensive,0.737,77,0.331,1.073,0.402,0.073,0.052,0.069,0.01,0.419,0.539,289,310,103,256,153
17,22018,203078,Bradley Beal,1610612764,WAS,Washington Wizards,Spotup,Offensive,0.879,82,0.133,1.162,0.456,0.06,0.041,0.06,0.008,0.466,0.585,266,309,110,241,131
18,22018,101123,Gerald Green,1610612745,HOU,Houston Rockets,Spotup,Offensive,0.768,73,0.431,1.088,0.404,0.021,0.053,0.018,0.007,0.387,0.57,284,309,107,265,158
19,22018,1626159,Justise Winslow,1610612748,MIA,Miami Heat,Spotup,Offensive,0.792,66,0.29,1.108,0.417,0.025,0.025,0.025,0.004,0.419,0.564,277,307,110,264,154
20,22018,203925,Joe Harris,1610612751,BKN,Brooklyn Nets,Spotup,Offensive,0.804,76,0.296,1.117,0.466,0.033,0.102,0.033,0.004,0.431,0.618,274,306,111,238,127
