,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,DEF_RATING,DREB,DREB_PCT,PCT_DREB,STL,PCT_STL,BLK,PCT_BLK,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,DEF_WS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,DEF_RATING_RANK,DREB_RANK,DREB_PCT_RANK,PCT_DREB_RANK,STL_RANK,PCT_STL_RANK,BLK_RANK,PCT_BLK_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,DEF_WS_RANK,CFID,CFPARAMS
0,201985,AJ Price,1610612754,IND,25.0,44,27,17,0.614,568.03,97.7,48,0.092,0.139,20,0.189,2,0.045,172,128,130,414,2.53,269,164,171,122,313,94,338,324,339,278,254,387,397,146,141,147,146,236,5,"201985,1610612754"
1,201189,Aaron Gray,1610612761,TOR,27.0,49,17,32,0.347,812.6583333333333,106.5,198,0.265,0.382,22,0.191,17,0.243,231,195,229,674,1.36,235,293,384,374,259,391,95,6,7,261,242,185,153,185,194,222,216,323,5,"201189,1610612761"
2,1733,Al Harrington,1610612743,DEN,32.0,64,36,28,0.563,1760.985,102.5,318,0.181,0.279,58,0.187,12,0.072,593,478,438,1420,5.18,62,65,330,182,82,265,32,78,83,67,258,231,347,399,393,368,371,86,5,"1733,1610612743"
3,201143,Al Horford,1610612737,ATL,26.0,11,7,4,0.636,347.98333333333335,100.3,51,0.156,0.246,10,0.172,14,0.378,100,87,86,272,1.24,428,390,35,86,364,166,332,134,128,354,288,218,89,104,115,110,117,337,5,"201143,1610612737"
4,2744,Al Jefferson,1610612762,UTA,27.0,61,32,29,0.525,2074.96,104.8,452,0.223,0.343,47,0.136,101,0.423,567,517,591,1806,4.58,120,117,344,222,37,345,10,20,16,120,378,12,69,382,416,451,446,116,5,"2744,1610612762"
5,202329,Al-Farouq Aminu,1610612740,NOH,21.0,66,21,45,0.318,1477.0433333333333,98.9,213,0.148,0.222,59,0.246,34,0.236,574,380,325,1136,6.07,1,234,464,406,138,122,79,156,170,63,97,95,155,384,321,286,309,60,5,"202329,1610612740"
6,101187,Alan Anderson,1610612761,TOR,29.0,17,7,10,0.412,460.725,99.0,26,0.057,0.08,5,0.106,3,0.068,146,100,127,382,1.84,403,390,86,318,341,125,389,462,469,402,432,354,353,130,123,143,141,286,5,"101187,1610612761"
7,202692,Alec Burks,1610612762,UTA,20.0,59,33,26,0.559,938.9033333333333,103.7,75,0.081,0.123,27,0.181,5,0.038,337,236,319,804,2.42,146,103,308,186,240,314,296,380,386,229,275,319,406,251,227,283,247,243,5,"202692,1610612762"
8,202087,Alonzo Gee,1610612739,CLE,25.0,63,20,43,0.317,1827.0466666666666,105.6,221,0.123,0.199,83,0.305,17,0.113,623,571,456,1718,3.56,87,251,453,409,70,371,73,226,209,27,33,185,278,414,452,378,435,181,5,"202087,1610612739"
9,2405,Amar'e Stoudemire,1610612752,NYK,29.0,47,22,25,0.468,1543.22,101.8,261,0.176,0.265,38,0.129,45,0.308,604,426,451,1318,4.86,250,217,294,287,124,236,54,93,106,163,393,64,121,407,358,374,351,98,5,"2405,1610612752"
10,101161,Amir Johnson,1610612761,TOR,25.0,64,22,42,0.344,1552.8933333333334,100.6,259,0.166,0.254,33,0.167,69,0.383,454,394,358,1168,5.45,62,217,448,377,123,183,55,111,117,201,297,32,85,307,330,308,319,78,5,"101161,1610612761"
11,2760,Anderson Varejao,1610612739,CLE,29.0,25,10,15,0.4,784.6033333333334,105.3,178,0.241,0.366,35,0.263,17,0.239,272,220,158,696,1.61,379,366,135,322,268,365,116,9,9,186,75,185,154,214,208,164,221,307,5,"2760,1610612739"
