,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,PTS_OFF_TOV,PTS_2ND_CHANCE,PTS_FB,PTS_PAINT,OPP_PTS_OFF_TOV,OPP_PTS_2ND_CHANCE,OPP_PTS_FB,OPP_PTS_PAINT,BLK,BLKA,PF,PFD,NBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,PTS_OFF_TOV_RANK,PTS_2ND_CHANCE_RANK,PTS_FB_RANK,PTS_PAINT_RANK,OPP_PTS_OFF_TOV_RANK,OPP_PTS_2ND_CHANCE_RANK,OPP_PTS_FB_RANK,OPP_PTS_PAINT_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,NBA_FANTASY_PTS1,CFID,CFPARAMS
0,201985,AJ Price,1610612739,CLE,28.0,26,11,15,0.423,323.49,28,13,5,30,117,72,68,284,0,5,15,31,247.4,400,384,113,319,391,359,389,414,400,103,90,86,102,442,100,57,358,385,5,"201985,1610612739"
1,201166,Aaron Brooks,1610612741,CHI,30.0,82,50,32,0.61,1884.6133333333332,68,50,91,346,601,516,460,1516,15,52,189,148,1594.7,2,40,310,134,126,237,246,128,103,358,370,342,345,222,435,439,115,122,5,"201166,1610612741"
2,203932,Aaron Gordon,1610612753,ORL,19.0,47,14,33,0.298,796.925,61,48,51,150,298,193,187,694,22,15,83,52,586.3,312,352,328,412,314,249,252,216,252,197,163,162,181,154,202,207,301,317,5,"203932,1610612753"
3,203940,Adreian Payne,1610612750,MIN,24.0,32,7,25,0.219,739.6383333333333,29,41,6,114,259,246,227,790,9,10,88,43,492.4,374,421,224,447,322,356,285,403,287,171,201,187,201,295,155,219,322,332,5,"203940,1610612750"
4,201143,Al Horford,1610612737,ATL,29.0,76,56,20,0.737,2318.1666666666665,143,134,95,604,750,700,535,1962,98,37,121,126,2572.8,87,11,158,32,55,86,65,120,28,422,466,386,429,23,380,287,156,26,5,"201143,1610612737"
5,2744,Al Jefferson,1610612766,CHA,30.0,65,25,40,0.385,1991.7733333333333,131,114,25,684,528,461,477,1612,84,53,139,137,2234.1,208,247,397,346,108,109,91,299,21,320,342,346,360,32,441,335,134,48,5,"2744,1610612766"
6,202329,Al-Farouq Aminu,1610612742,DAL,24.0,74,45,29,0.608,1365.7883333333334,109,63,86,210,442,391,406,1072,62,22,137,94,1251.9,116,75,275,137,216,147,203,139,194,273,291,309,260,46,264,329,206,181,5,"202329,1610612742"
7,101187,Alan Anderson,1610612751,BKN,32.0,74,35,39,0.473,1744.2983333333334,74,53,45,184,542,496,487,1560,5,29,148,128,1037.3,116,166,388,263,143,220,231,230,221,328,361,352,353,353,324,366,151,220,5,"101187,1610612751"
8,202692,Alec Burks,1610612762,UTA,23.0,27,9,18,0.333,899.0716666666667,52,31,75,122,358,272,245,860,5,24,64,96,647.8,396,405,143,384,293,279,317,161,279,233,217,200,221,353,275,165,202,307,5,"202692,1610612762"
9,203945,Alex Kirk,1610612739,CLE,23.0,5,2,3,0.4,13.985,0,0,0,2,8,2,2,8,0,0,1,1,6.7,469,463,25,331,482,472,463,465,471,13,6,4,6,442,1,6,472,482,5,"203945,1610612739"
10,203458,Alex Len,1610612756,PHX,22.0,69,35,34,0.507,1518.0,59,127,26,298,589,458,515,1404,105,31,213,101,1367.8,168,166,345,223,184,256,73,295,132,349,340,367,331,19,339,473,195,159,5,"203458,1610612756"
11,203144,Alexey Shved,1610612752,NYK,26.0,42,10,32,0.238,767.24,60,46,85,146,278,207,238,664,6,26,48,99,771.8,335,397,310,440,319,251,260,142,256,185,174,193,175,339,299,127,197,282,5,"203144,1610612752"
12,201582,Alexis Ajinca,1610612740,NOP,27.0,68,41,27,0.603,956.5366666666666,39,101,9,264,320,291,259,896,51,18,151,91,1038.5,172,95,249,145,283,321,116,389,154,212,231,217,228,65,233,375,213,219,5,"201582,1610612740"
13,203459,Allen Crabbe,1610612757,POR,23.0,51,36,15,0.706,682.9983333333333,41,20,34,56,234,196,196,638,15,2,74,19,401.1,291,155,113,51,332,314,355,263,355,158,166,164,168,222,46,189,389,357,5,"203459,1610612757"
14,202087,Alonzo Gee,1610612757,POR,28.0,54,21,33,0.389,661.4866666666667,69,42,80,140,245,221,181,604,7,24,58,47,484.3,280,283,328,343,338,232,279,149,262,165,184,159,162,325,275,150,317,336,5,"202087,1610612757"
15,2405,Amar'e Stoudemire,1610612742,DAL,32.0,59,19,40,0.322,1244.375,99,135,20,472,422,326,290,992,38,44,161,189,1265.3,254,296,397,395,233,169,64,324,61,261,256,240,247,97,409,395,82,178,5,"2405,1610612742"
16,101161,Amir Johnson,1610612761,TOR,28.0,75,44,31,0.587,1978.75,81,166,62,530,654,602,538,1820,59,52,225,130,1615.7,100,82,300,161,114,207,34,191,47,392,421,390,396,51,435,480,147,119,5,"101161,1610612761"
17,2760,Anderson Varejao,1610612739,CLE,32.0,26,16,10,0.615,635.6016666666667,31,30,24,170,231,137,156,612,16,16,58,48,581.5,400,330,71,126,341,348,320,303,232,153,124,143,164,210,214,150,313,318,5,"2760,1610612739"
18,203958,Andre Dawkins,1610612748,MIA,23.0,4,2,2,0.5,21.678333333333335,0,3,0,0,7,10,12,16,0,0,3,0,5.9,476,463,11,227,479,472,444,465,481,10,20,21,13,442,1,16,481,483,5,"203958,1610612748"
19,203083,Andre Drummond,1610612765,DET,21.0,82,32,50,0.39,2501.858333333333,164,407,164,974,846,694,592,2194,153,58,285,274,3095.3,2,195,463,338,28,59,1,48,1,468,459,418,460,5,452,492,35,10,5,"203083,1610612765"
20,2738,Andre Iguodala,1610612744,GSW,31.0,77,64,13,0.831,2068.5933333333332,157,33,179,244,637,625,571,1794,25,8,100,134,1508.4,75,3,96,10,95,68,307,38,168,378,434,408,392,134,131,239,140,137,5,"2738,1610612744"
21,1889,Andre Miller,1610612758,SAC,39.0,81,44,37,0.543,1253.2716666666668,42,41,23,212,459,316,397,1010,6,29,103,88,974.6,29,82,370,195,232,307,285,307,190,283,245,299,250,339,324,246,223,232,5,"1889,1610612758"
22,203460,Andre Roberson,1610612760,OKC,23.0,67,41,26,0.612,1286.1133333333332,53,32,57,140,452,292,322,1078,29,18,141,34,839.0,185,95,234,133,227,273,313,202,262,279,232,262,262,124,233,344,352,267,5,"203460,1610612760"
23,200745,Andrea Bargnani,1610612752,NYK,29.0,29,5,24,0.172,785.3416666666667,42,52,14,152,285,198,243,774,27,7,53,102,696.4,386,442,212,467,317,307,237,353,249,190,167,198,195,127,120,137,193,300,5,"200745,1610612752"
24,1905,Andrei Kirilenko,1610612751,BKN,34.0,7,3,4,0.429,36.39666666666667,0,1,0,0,27,22,15,30,0,2,1,2,16.1,462,457,30,314,472,472,460,465,481,34,40,29,21,442,46,6,466,474,5,"1905,1610612751"
25,101106,Andrew Bogut,1610612744,GSW,30.0,67,58,9,0.866,1582.5333333333333,59,123,11,392,474,428,365,1138,113,19,188,75,1693.6,185,8,64,6,174,256,79,376,89,292,312,281,276,17,238,436,249,107,5,"101106,1610612744"
26,203094,Andrew Nicholson,1610612753,ORL,25.0,40,14,26,0.35,492.0966666666667,30,21,3,76,139,128,97,366,12,2,51,35,355.4,345,352,234,376,368,350,351,439,327,115,118,109,121,255,46,132,348,363,5,"203094,1610612753"
27,203952,Andrew Wiggins,1610612750,MIN,20.0,82,16,66,0.195,2968.7966666666666,267,196,181,640,1076,955,890,2950,50,67,190,376,2321.8,2,330,492,459,2,9,20,34,25,490,492,489,492,66,471,446,10,43,5,"203952,1610612750"
28,203461,Anthony Bennett,1610612750,MIN,22.0,57,12,45,0.211,893.825,54,68,31,138,333,228,287,906,16,20,87,51,722.2,268,371,445,450,295,271,186,273,265,219,186,235,230,210,244,216,304,290,5,"203461,1610612750"
29,203076,Anthony Davis,1610612740,NOP,22.0,68,39,29,0.574,2454.695,242,246,176,818,723,628,658,2362,200,57,141,377,3519.7,172,115,275,173,35,15,12,42,3,413,439,447,479,1,450,344,9,4,5,"203076,1610612740"
30,201627,Anthony Morrow,1610612760,OKC,29.0,74,42,32,0.568,1805.6133333333332,126,125,134,154,571,464,462,1568,11,15,135,84,1271.0,116,92,310,181,138,117,76,73,247,340,344,343,354,270,202,318,229,177,5,"201627,1610612760"
31,201229,Anthony Tolliver,1610612765,DET,30.0,76,36,40,0.474,1432.785,99,51,42,92,507,413,384,1324,16,17,137,82,922.7,87,155,397,262,199,169,243,237,308,309,305,291,308,210,226,329,235,245,5,"201229,1610612765"
32,203462,Archie Goodwin,1610612756,PHX,20.0,41,16,25,0.39,534.8316666666667,45,29,54,124,178,162,197,532,9,21,55,74,418.8,340,330,224,338,358,295,329,208,276,128,143,167,147,295,255,143,253,351,5,"203462,1610612756"
