,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
0,22014,200755,JJ Redick,1610612746,LAC,Los Angeles Clippers,Handoff,Offensive,0.765,78,0.152,1.012,0.479,0.06,0.108,0.054,0.006,0.455,0.539,167,169,67,140,73
1,22014,202330,Gordon Hayward,1610612762,UTA,Utah Jazz,Handoff,Offensive,0.462,76,0.126,0.847,0.409,0.085,0.148,0.074,0.021,0.386,0.456,189,160,61,149,88
2,22014,202340,Avery Bradley,1610612738,BOS,Boston Celtics,Handoff,Offensive,0.389,77,0.161,0.812,0.425,0.048,0.134,0.043,0.005,0.392,0.444,186,151,65,153,88
3,22014,202710,Jimmy Butler,1610612741,CHI,Chicago Bulls,Handoff,Offensive,0.53,65,0.11,0.881,0.345,0.134,0.052,0.134,0.007,0.41,0.386,134,118,38,110,72
4,22014,202691,Klay Thompson,1610612744,GSW,Golden State Warriors,Handoff,Offensive,0.821,77,0.071,1.054,0.462,0.072,0.09,0.063,0.0,0.459,0.548,111,117,43,93,50
5,22014,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,Handoff,Offensive,0.872,80,0.055,1.096,0.44,0.106,0.117,0.074,0.021,0.436,0.56,94,103,33,75,42
6,22014,201566,Russell Westbrook,1610612760,OKC,Oklahoma City Thunder,Handoff,Offensive,0.637,68,0.049,0.94,0.403,0.12,0.14,0.11,0.03,0.4,0.474,100,94,31,77,46
7,22014,203504,Trey Burke,1610612762,UTA,Utah Jazz,Handoff,Offensive,0.205,76,0.112,0.707,0.353,0.023,0.105,0.015,0.0,0.331,0.384,133,94,41,116,75
8,22014,201587,Nicolas Batum,1610612757,POR,Portland Trail Blazers,Handoff,Offensive,0.741,71,0.121,1.0,0.487,0.054,0.151,0.043,0.022,0.43,0.579,93,93,37,76,39
9,22014,2037,Jamal Crawford,1610612746,LAC,Los Angeles Clippers,Handoff,Offensive,0.543,64,0.099,0.892,0.425,0.078,0.098,0.069,0.029,0.412,0.466,102,91,37,87,50
10,22014,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,Handoff,Offensive,0.88,82,0.046,1.1,0.464,0.088,0.075,0.088,0.025,0.463,0.551,80,88,32,69,37
11,22014,201596,Mario Chalmers,1610612748,MIA,Miami Heat,Handoff,Offensive,0.846,80,0.08,1.079,0.5,0.171,0.105,0.132,0.039,0.513,0.526,76,82,29,58,29
12,22014,203078,Bradley Beal,1610612764,WAS,Washington Wizards,Handoff,Offensive,0.325,63,0.1,0.779,0.368,0.077,0.106,0.058,0.019,0.365,0.397,104,81,32,87,55
13,22014,200768,Kyle Lowry,1610612761,TOR,Toronto Raptors,Handoff,Offensive,0.741,70,0.058,1.0,0.409,0.101,0.063,0.076,0.0,0.443,0.5,79,79,27,66,39
14,22014,2594,Kyle Korver,1610612737,ATL,Atlanta Hawks,Handoff,Offensive,0.741,75,0.106,1.0,0.429,0.051,0.177,0.038,0.025,0.367,0.587,79,79,27,63,36
15,22014,201144,Mike Conley,1610612763,MEM,Memphis Grizzlies,Handoff,Offensive,0.376,70,0.085,0.804,0.338,0.082,0.093,0.082,0.0,0.351,0.4,97,78,27,80,53
16,22014,201569,Eric Gordon,1610612740,NOP,New Orleans Pelicans,Handoff,Offensive,0.833,61,0.082,1.069,0.438,0.083,0.056,0.083,0.028,0.444,0.531,72,77,28,64,36
17,22014,201945,Gerald Henderson,1610612766,CHA,Charlotte Hornets,Handoff,Offensive,0.679,80,0.073,0.987,0.478,0.078,0.039,0.052,0.013,0.494,0.486,77,76,33,69,36
18,22014,2399,Mike Dunleavy,1610612741,CHI,Chicago Bulls,Handoff,Offensive,0.573,63,0.146,0.905,0.369,0.095,0.131,0.083,0.0,0.381,0.462,84,76,24,65,41
19,22014,2757,Beno Udrih,1610612763,MEM,Memphis Grizzlies,Handoff,Offensive,0.885,79,0.107,1.103,0.547,0.132,0.103,0.132,0.015,0.544,0.557,68,75,29,53,24
20,22014,202689,Kemba Walker,1610612766,CHA,Charlotte Hornets,Handoff,Offensive,0.906,62,0.053,1.127,0.5,0.143,0.032,0.159,0.048,0.524,0.528,63,71,27,54,27
21,22014,201166,Aaron Brooks,1610612741,CHI,Chicago Bulls,Handoff,Offensive,0.769,82,0.067,1.014,0.509,0.071,0.157,0.071,0.014,0.443,0.591,70,71,28,55,27
22,22014,203501,Tim Hardaway Jr.,1610612752,NYK,New York Knicks,Handoff,Offensive,0.303,70,0.106,0.772,0.346,0.098,0.087,0.087,0.033,0.348,0.378,92,71,27,78,51
23,22014,203503,Tony Snell,1610612741,CHI,Chicago Bulls,Handoff,Offensive,0.786,72,0.153,1.029,0.414,0.059,0.088,0.059,0.0,0.412,0.534,68,70,24,58,34
24,22014,201935,James Harden,1610612745,HOU,Houston Rockets,Handoff,Offensive,0.615,81,0.035,0.921,0.357,0.105,0.171,0.105,0.013,0.355,0.491,76,70,20,56,36
25,22014,201942,DeMar DeRozan,1610612761,TOR,Toronto Raptors,Handoff,Offensive,0.474,60,0.063,0.854,0.385,0.122,0.098,0.098,0.012,0.415,0.4,82,70,25,65,40
26,22014,101145,Monta Ellis,1610612742,DAL,Dallas Mavericks,Handoff,Offensive,0.416,80,0.051,0.824,0.462,0.094,0.165,0.071,0.024,0.412,0.469,85,70,30,65,35
27,22014,2225,Tony Parker,1610612759,SAS,San Antonio Spurs,Handoff,Offensive,0.889,68,0.059,1.113,0.569,0.097,0.081,0.081,0.0,0.565,0.569,62,69,29,51,22
