,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
0,22013,2546,Carmelo Anthony,1610612752,NYK,New York Knicks,Isolation,Offensive,0.829,77,0.256,0.962,0.423,0.135,0.061,0.127,0.023,0.46,0.449,526,506,184,435,251
1,22013,201142,Kevin Durant,1610612760,OKC,Oklahoma City Thunder,Isolation,Offensive,0.95,81,0.162,1.113,0.471,0.183,0.097,0.142,0.032,0.503,0.541,372,414,132,280,148
2,22013,2544,LeBron James,1610612748,MIA,Miami Heat,Isolation,Offensive,0.9,77,0.207,1.008,0.453,0.144,0.07,0.129,0.039,0.469,0.498,388,391,145,320,175
3,22013,201935,James Harden,1610612745,HOU,Houston Rockets,Isolation,Offensive,0.798,73,0.235,0.944,0.356,0.202,0.095,0.187,0.019,0.436,0.408,411,388,105,295,190
4,22013,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,Isolation,Offensive,0.804,78,0.171,0.948,0.413,0.103,0.077,0.084,0.016,0.432,0.465,310,294,107,259,152
5,22013,2037,Jamal Crawford,1610612746,LAC,Los Angeles Clippers,Isolation,Offensive,0.922,69,0.189,1.046,0.437,0.187,0.066,0.178,0.041,0.485,0.487,241,252,83,190,107
6,22013,202322,John Wall,1610612764,WAS,Washington Wizards,Isolation,Offensive,0.729,82,0.152,0.901,0.39,0.172,0.091,0.157,0.04,0.427,0.425,274,247,83,213,130
7,22013,202331,Paul George,1610612754,IND,Indiana Pacers,Isolation,Offensive,0.788,80,0.133,0.937,0.377,0.169,0.059,0.127,0.034,0.43,0.421,237,222,72,191,119
8,22013,201936,Tyreke Evans,1610612740,NOP,New Orleans Pelicans,Isolation,Offensive,0.445,72,0.23,0.783,0.397,0.091,0.12,0.083,0.022,0.384,0.406,276,216,89,224,135
9,22013,202681,Kyrie Irving,1610612739,CLE,Cleveland Cavaliers,Isolation,Offensive,0.682,71,0.155,0.887,0.382,0.083,0.046,0.075,0.013,0.408,0.425,240,213,81,212,131
10,22013,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,Isolation,Offensive,0.847,82,0.12,0.98,0.388,0.179,0.09,0.154,0.025,0.443,0.461,201,197,59,152,93
11,22013,201942,DeMar DeRozan,1610612761,TOR,Toronto Raptors,Isolation,Offensive,0.586,79,0.122,0.846,0.351,0.181,0.075,0.172,0.013,0.427,0.368,227,192,60,171,111
12,22013,201156,Nick Young,1610612747,LAL,Los Angeles Lakers,Isolation,Offensive,0.62,64,0.203,0.857,0.365,0.13,0.081,0.121,0.022,0.404,0.401,223,191,66,181,115
13,22013,201952,Jeff Teague,1610612737,ATL,Atlanta Hawks,Isolation,Offensive,0.614,79,0.154,0.851,0.415,0.127,0.122,0.113,0.027,0.416,0.444,221,188,71,171,100
14,22013,202738,Isaiah Thomas,1610612758,SAC,Sacramento Kings,Isolation,Offensive,0.844,72,0.126,0.979,0.399,0.193,0.112,0.128,0.043,0.444,0.453,187,183,55,138,83
15,22013,2755,Kevin Martin,1610612750,MIN,Minnesota Timberwolves,Isolation,Offensive,0.794,68,0.152,0.943,0.395,0.135,0.088,0.124,0.01,0.435,0.447,193,182,60,152,92
16,22013,201951,Ty Lawson,1610612743,DEN,Denver Nuggets,Isolation,Offensive,0.791,62,0.16,0.942,0.433,0.179,0.105,0.142,0.026,0.468,0.465,190,179,61,141,80
17,22013,2207,Joe Johnson,1610612751,BKN,Brooklyn Nets,Isolation,Offensive,0.657,79,0.166,0.877,0.397,0.079,0.054,0.059,0.015,0.414,0.427,203,178,71,179,108
18,22013,202689,Kemba Walker,1610612766,CHA,Charlotte Bobcats,Isolation,Offensive,0.869,73,0.118,0.994,0.408,0.134,0.058,0.122,0.017,0.448,0.475,172,171,58,142,84
19,22013,201609,Goran Dragic,1610612756,PHX,Phoenix Suns,Isolation,Offensive,0.841,76,0.116,0.977,0.39,0.105,0.087,0.093,0.012,0.407,0.489,172,168,55,141,86
20,22013,200752,Rudy Gay,1610612758,SAC,Sacramento Kings,Isolation,Offensive,0.617,55,0.172,0.853,0.41,0.122,0.076,0.107,0.015,0.437,0.416,197,168,66,161,95
21,22013,203079,Dion Waiters,1610612739,CLE,Cleveland Cavaliers,Isolation,Offensive,0.421,70,0.175,0.771,0.397,0.087,0.115,0.073,0.023,0.385,0.408,218,168,71,179,108
22,22013,201167,Arron Afflalo,1610612753,ORL,Orlando Magic,Isolation,Offensive,0.916,73,0.125,1.031,0.438,0.186,0.081,0.155,0.019,0.497,0.471,161,166,53,121,68
23,22013,2747,JR Smith,1610612752,NYK,New York Knicks,Isolation,Offensive,0.302,74,0.204,0.719,0.328,0.118,0.092,0.101,0.026,0.355,0.347,228,164,61,186,125
24,22013,203487,Michael Carter-Williams,1610612755,PHI,Philadelphia 76ers,Isolation,Offensive,0.595,70,0.13,0.847,0.361,0.2,0.084,0.179,0.042,0.426,0.382,190,161,52,144,92
25,22013,101108,Chris Paul,1610612746,LAC,Los Angeles Clippers,Isolation,Offensive,0.866,62,0.139,0.994,0.383,0.163,0.05,0.094,0.013,0.456,0.445,160,159,49,128,79
26,22013,201152,Thaddeus Young,1610612755,PHI,Philadelphia 76ers,Isolation,Offensive,0.399,79,0.131,0.764,0.369,0.074,0.108,0.059,0.01,0.369,0.393,203,155,62,168,106
27,22013,201155,Rodney Stuckey,1610612765,DET,Detroit Pistons,Isolation,Offensive,0.673,73,0.15,0.884,0.396,0.152,0.073,0.134,0.043,0.433,0.399,164,145,53,134,81
