,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
0,22012,202691,Klay Thompson,1610612744,GSW,Golden State Warriors,OffScreen,Offensive,0.411,82,0.258,0.833,0.393,0.025,0.066,0.025,0.0,0.381,0.434,365,304,130,331,201
1,22012,201142,Kevin Durant,1610612760,OKC,Oklahoma City Thunder,OffScreen,Offensive,0.748,81,0.121,1.02,0.47,0.13,0.081,0.113,0.03,0.482,0.502,247,252,95,202,107
2,22012,2594,Kyle Korver,1610612737,ATL,Atlanta Hawks,OffScreen,Offensive,0.766,75,0.335,1.034,0.473,0.052,0.09,0.021,0.0,0.455,0.552,233,241,95,201,106
3,22012,101114,Deron Williams,1610612751,BKN,Brooklyn Nets,OffScreen,Offensive,0.654,78,0.168,0.952,0.394,0.056,0.052,0.04,0.02,0.398,0.48,249,237,89,226,137
4,22012,1718,Paul Pierce,1610612738,BOS,Boston Celtics,OffScreen,Offensive,0.659,77,0.156,0.952,0.395,0.082,0.087,0.078,0.01,0.403,0.485,231,220,77,195,118
5,22012,201942,DeMar DeRozan,1610612761,TOR,Toronto Raptors,OffScreen,Offensive,0.523,82,0.159,0.879,0.421,0.097,0.053,0.081,0.02,0.441,0.424,247,217,91,216,125
6,22012,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,OffScreen,Offensive,0.813,78,0.113,1.066,0.409,0.061,0.041,0.041,0.0,0.429,0.523,196,209,72,176,104
7,22012,200755,JJ Redick,1610612753,ORL,Orlando Magic,OffScreen,Offensive,0.598,50,0.301,0.919,0.401,0.059,0.117,0.05,0.02,0.378,0.487,222,204,75,187,112
8,22012,202331,Paul George,1610612754,IND,Indiana Pacers,OffScreen,Offensive,0.491,79,0.13,0.869,0.347,0.056,0.076,0.051,0.01,0.354,0.442,198,172,60,173,113
9,22012,2037,Jamal Crawford,1610612746,LAC,Los Angeles Clippers,OffScreen,Offensive,0.78,76,0.124,1.038,0.481,0.083,0.109,0.051,0.03,0.455,0.546,156,162,63,131,68
10,22012,1888,Richard Hamilton,1610612741,CHI,Chicago Bulls,OffScreen,Offensive,0.449,50,0.314,0.854,0.441,0.054,0.076,0.054,0.0,0.432,0.441,185,158,71,161,90
11,22012,2207,Joe Johnson,1610612751,BKN,Brooklyn Nets,OffScreen,Offensive,0.841,72,0.116,1.076,0.5,0.021,0.083,0.021,0.01,0.462,0.572,145,156,66,132,66
12,22012,201162,Jared Dudley,1610612756,PHX,Phoenix Suns,OffScreen,Offensive,0.57,79,0.2,0.905,0.4,0.095,0.083,0.083,0.01,0.42,0.436,169,153,56,140,84
13,22012,202390,Gary Neal,1610612759,SAS,San Antonio Spurs,OffScreen,Offensive,0.738,68,0.217,1.013,0.454,0.033,0.047,0.033,0.02,0.44,0.514,150,152,64,141,77
14,22012,1891,Jason Terry,1610612738,BOS,Boston Celtics,OffScreen,Offensive,0.696,79,0.194,0.981,0.459,0.052,0.091,0.045,0.01,0.442,0.508,154,151,61,133,72
15,22012,200751,Randy Foye,1610612762,UTA,Utah Jazz,OffScreen,Offensive,0.565,82,0.184,0.901,0.385,0.025,0.062,0.025,0.0,0.377,0.47,162,146,57,148,91
16,22012,2732,Ben Gordon,1610612766,CHA,Charlotte Bobcats,OffScreen,Offensive,0.64,75,0.16,0.94,0.402,0.066,0.079,0.06,0.02,0.397,0.481,151,142,53,132,79
17,22012,2399,Mike Dunleavy,1610612749,MIL,Milwaukee Bucks,OffScreen,Offensive,0.486,75,0.207,0.868,0.357,0.057,0.063,0.044,0.02,0.358,0.441,159,138,51,143,92
18,22012,101145,Monta Ellis,1610612749,MIL,Milwaukee Bucks,OffScreen,Offensive,0.435,82,0.087,0.843,0.394,0.094,0.082,0.082,0.01,0.409,0.413,159,134,52,132,80
19,22012,203078,Bradley Beal,1610612764,WAS,Washington Wizards,OffScreen,Offensive,0.474,57,0.183,0.864,0.386,0.058,0.084,0.052,0.0,0.39,0.451,154,133,51,132,81
20,22012,951,Ray Allen,1610612748,MIA,Miami Heat,OffScreen,Offensive,0.589,79,0.18,0.91,0.403,0.028,0.083,0.028,0.01,0.382,0.481,144,131,52,129,77
21,22012,2736,Luol Deng,1610612741,CHI,Chicago Bulls,OffScreen,Offensive,0.397,75,0.115,0.827,0.419,0.077,0.103,0.045,0.01,0.417,0.426,156,129,54,129,75
22,22012,201167,Arron Afflalo,1610612753,ORL,Orlando Magic,OffScreen,Offensive,0.621,64,0.121,0.927,0.442,0.08,0.117,0.073,0.02,0.423,0.482,137,127,50,113,63
23,22012,201587,Nicolas Batum,1610612757,POR,Portland Trail Blazers,OffScreen,Offensive,0.393,73,0.131,0.826,0.328,0.069,0.09,0.049,0.0,0.34,0.422,144,119,40,122,82
24,22012,201583,Ryan Anderson,1610612740,NOH,New Orleans Hornets,OffScreen,Offensive,0.542,81,0.102,0.886,0.331,0.045,0.038,0.038,0.0,0.348,0.442,132,117,40,121,81
25,22012,200755,JJ Redick,1610612749,MIL,Milwaukee Bucks,OffScreen,Offensive,0.743,28,0.319,1.018,0.414,0.071,0.053,0.044,0.0,0.434,0.495,113,115,41,99,58
26,22012,202330,Gordon Hayward,1610612762,UTA,Utah Jazz,OffScreen,Offensive,0.575,73,0.126,0.906,0.405,0.087,0.055,0.047,0.02,0.425,0.446,127,115,45,111,66
27,22012,202083,Wesley Matthews,1610612757,POR,Portland Trail Blazers,OffScreen,Offensive,0.85,69,0.101,1.089,0.405,0.099,0.089,0.089,0.02,0.416,0.548,101,110,34,84,50
28,22012,101126,Nate Robinson,1610612741,CHI,Chicago Bulls,OffScreen,Offensive,0.949,82,0.075,1.235,0.5,0.082,0.059,0.059,0.04,0.494,0.625,85,105,38,76,38
