,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
0,22019,203954,Joel Embiid,1610612755,PHI,Philadelphia 76ers,Postup,Offensive,0.903,51,0.368,1.1,0.524,0.277,0.118,0.225,0.043,0.564,0.524,422,464,143,273,130
1,22019,203999,Nikola Jokic,1610612743,DEN,Denver Nuggets,Postup,Offensive,0.858,73,0.246,1.063,0.57,0.165,0.154,0.117,0.028,0.538,0.57,351,373,142,249,107
2,22019,200746,LaMarcus Aldridge,1610612759,SAS,San Antonio Spurs,Postup,Offensive,0.658,53,0.322,0.967,0.457,0.161,0.069,0.138,0.026,0.495,0.457,305,295,111,243,132
3,22019,203076,Anthony Davis,1610612747,LAL,Los Angeles Lakers,Postup,Offensive,0.445,63,0.219,0.903,0.446,0.174,0.14,0.14,0.019,0.467,0.446,321,290,100,224,124
4,22019,2546,Carmelo Anthony,1610612757,POR,Portland Trail Blazers,Postup,Offensive,0.419,58,0.298,0.898,0.444,0.144,0.116,0.141,0.018,0.461,0.444,284,255,95,214,119
5,22019,202685,Jonas Valanciunas,1610612763,MEM,Memphis Grizzlies,Postup,Offensive,0.665,70,0.235,0.969,0.524,0.146,0.146,0.142,0.035,0.491,0.524,226,219,88,168,80
6,22019,1626149,Montrezl Harrell,1610612746,LAC,LA Clippers,Postup,Offensive,0.716,63,0.189,0.98,0.484,0.199,0.1,0.174,0.075,0.493,0.484,201,197,75,155,80
7,22019,202696,Nikola Vucevic,1610612753,ORL,Orlando Magic,Postup,Offensive,0.303,62,0.198,0.823,0.431,0.08,0.101,0.063,0.013,0.414,0.431,237,195,84,195,111
8,22019,201567,Kevin Love,1610612739,CLE,Cleveland Cavaliers,Postup,Offensive,0.555,56,0.213,0.936,0.514,0.128,0.172,0.113,0.01,0.483,0.514,203,190,74,144,70
9,22019,203944,Julius Randle,1610612752,NYK,New York Knicks,Postup,Offensive,0.529,64,0.151,0.922,0.475,0.191,0.152,0.167,0.034,0.485,0.475,204,188,67,141,74
10,22019,203507,Giannis Antetokounmpo,1610612749,MIL,Milwaukee Bucks,Postup,Offensive,0.523,63,0.117,0.921,0.556,0.182,0.212,0.143,0.049,0.478,0.556,203,187,74,133,59
11,22019,1627734,Domantas Sabonis,1610612754,IND,Indiana Pacers,Postup,Offensive,0.477,62,0.171,0.914,0.532,0.117,0.198,0.102,0.03,0.462,0.532,197,180,75,141,66
12,22019,201143,Al Horford,1610612755,PHI,Philadelphia 76ers,Postup,Offensive,0.406,67,0.237,0.887,0.476,0.062,0.118,0.041,0.021,0.441,0.476,195,173,78,164,86
13,22019,2544,LeBron James,1610612747,LAL,Los Angeles Lakers,Postup,Offensive,0.652,67,0.101,0.966,0.529,0.121,0.126,0.103,0.029,0.494,0.529,174,168,72,136,64
