,SEASON_ID,PLAYER_ID,PLAYER_NAME,TEAM_ID,TEAM_ABBREVIATION,TEAM_NAME,PLAY_TYPE,TYPE_GROUPING,PERCENTILE,GP,POSS_PCT,PPP,FG_PCT,FT_POSS_PCT,TOV_POSS_PCT,SF_POSS_PCT,PLUSONE_POSS_PCT,SCORE_POSS_PCT,EFG_PCT,POSS,PTS,FGM,FGA,FGMX
0,22013,201935,James Harden,1610612745,HOU,Houston Rockets,Transition,Offensive,0.768,73,0.268,1.25,0.577,0.239,0.135,0.22,0.043,0.577,0.647,468,585,180,312,132
1,22013,2544,LeBron James,1610612748,MIA,Miami Heat,Transition,Offensive,0.875,77,0.211,1.322,0.732,0.22,0.154,0.182,0.058,0.661,0.753,395,522,197,269,72
2,22013,201147,Corey Brewer,1610612750,MIN,Minnesota Timberwolves,Transition,Offensive,0.782,81,0.377,1.256,0.646,0.185,0.09,0.179,0.053,0.625,0.662,379,476,190,294,104
3,22013,201142,Kevin Durant,1610612760,OKC,Oklahoma City Thunder,Transition,Offensive,0.858,81,0.158,1.303,0.617,0.229,0.116,0.209,0.052,0.606,0.668,363,473,158,256,98
4,22013,202322,John Wall,1610612764,WAS,Washington Wizards,Transition,Offensive,0.4,82,0.224,1.069,0.577,0.184,0.184,0.169,0.05,0.524,0.591,403,431,158,274,116
5,22013,201609,Goran Dragic,1610612756,PHX,Phoenix Suns,Transition,Offensive,0.733,76,0.237,1.225,0.633,0.179,0.12,0.157,0.051,0.593,0.663,351,430,167,264,97
6,22013,201933,Blake Griffin,1610612746,LAC,Los Angeles Clippers,Transition,Offensive,0.946,80,0.155,1.433,0.812,0.333,0.131,0.285,0.089,0.735,0.812,291,417,147,181,34
7,22013,201975,Jodie Meeks,1610612747,LAL,Los Angeles Lakers,Transition,Offensive,0.777,77,0.289,1.254,0.561,0.188,0.072,0.176,0.06,0.574,0.614,319,400,143,255,112
8,22013,201952,Jeff Teague,1610612737,ATL,Atlanta Hawks,Transition,Offensive,0.708,79,0.213,1.216,0.618,0.219,0.134,0.19,0.046,0.598,0.63,306,372,131,212,81
9,22013,201939,Stephen Curry,1610612744,GSW,Golden State Warriors,Transition,Offensive,0.461,78,0.188,1.094,0.526,0.076,0.168,0.071,0.038,0.456,0.626,340,372,142,270,128
10,22013,2772,Trevor Ariza,1610612764,WAS,Washington Wizards,Transition,Offensive,0.855,77,0.244,1.3,0.577,0.088,0.081,0.085,0.019,0.546,0.707,260,338,127,220,93
11,22013,101123,Gerald Green,1610612756,PHX,Phoenix Suns,Transition,Offensive,0.64,82,0.219,1.186,0.471,0.124,0.062,0.102,0.015,0.5,0.586,274,325,107,227,120
12,22013,202718,Chandler Parsons,1610612745,HOU,Houston Rockets,Transition,Offensive,0.664,75,0.221,1.193,0.602,0.152,0.133,0.144,0.048,0.544,0.667,270,322,124,206,82
13,22013,202688,Brandon Knight,1610612749,MIL,Milwaukee Bucks,Transition,Offensive,0.588,72,0.192,1.162,0.549,0.199,0.107,0.162,0.022,0.566,0.582,272,316,107,195,88
14,22013,201943,Brandon Jennings,1610612765,DET,Detroit Pistons,Transition,Offensive,0.256,80,0.212,1.0,0.476,0.137,0.156,0.124,0.035,0.449,0.556,314,314,111,233,122
15,22013,201152,Thaddeus Young,1610612755,PHI,Philadelphia 76ers,Transition,Offensive,0.417,79,0.188,1.079,0.585,0.117,0.155,0.11,0.021,0.531,0.627,290,313,127,217,90
16,22013,202331,Paul George,1610612754,IND,Indiana Pacers,Transition,Offensive,0.694,80,0.144,1.211,0.578,0.176,0.152,0.156,0.051,0.543,0.651,256,310,107,185,78
17,22013,202738,Isaiah Thomas,1610612758,SAC,Sacramento Kings,Transition,Offensive,0.605,72,0.178,1.171,0.551,0.129,0.106,0.084,0.023,0.536,0.623,263,308,114,207,93
18,22013,2755,Kevin Martin,1610612750,MIN,Minnesota Timberwolves,Transition,Offensive,0.792,68,0.192,1.259,0.566,0.136,0.082,0.111,0.033,0.564,0.641,243,306,112,198,86
19,22013,201566,Russell Westbrook,1610612760,OKC,Oklahoma City Thunder,Transition,Offensive,0.466,47,0.253,1.095,0.552,0.172,0.15,0.153,0.022,0.533,0.583,274,300,106,192,86
20,22013,203081,Damian Lillard,1610612757,POR,Portland Trail Blazers,Transition,Offensive,0.691,82,0.145,1.211,0.528,0.103,0.116,0.091,0.017,0.508,0.645,242,293,102,193,91
21,22013,201936,Tyreke Evans,1610612740,NOP,New Orleans Pelicans,Transition,Offensive,0.542,72,0.213,1.141,0.563,0.203,0.098,0.191,0.074,0.551,0.563,256,292,111,197,86
22,22013,203100,Tony Wroten,1610612755,PHI,Philadelphia 76ers,Transition,Offensive,0.294,72,0.248,1.017,0.555,0.213,0.154,0.21,0.038,0.535,0.555,286,291,106,191,85
23,22013,202691,Klay Thompson,1610612744,GSW,Golden State Warriors,Transition,Offensive,0.63,81,0.168,1.179,0.493,0.085,0.073,0.085,0.016,0.484,0.616,246,290,104,211,107
24,22013,201145,Jeff Green,1610612738,BOS,Boston Celtics,Transition,Offensive,0.463,82,0.178,1.094,0.508,0.211,0.117,0.2,0.057,0.521,0.567,265,290,98,193,95
25,22013,202330,Gordon Hayward,1610612762,UTA,Utah Jazz,Transition,Offensive,0.625,77,0.173,1.177,0.569,0.255,0.107,0.235,0.049,0.576,0.605,243,286,95,167,72
26,22013,203078,Bradley Beal,1610612764,WAS,Washington Wizards,Transition,Offensive,0.919,73,0.152,1.39,0.584,0.166,0.063,0.127,0.039,0.6,0.708,205,285,97,166,69
27,22013,101145,Monta Ellis,1610612742,DAL,Dallas Mavericks,Transition,Offensive,0.755,82,0.126,1.242,0.639,0.196,0.146,0.183,0.055,0.589,0.687,219,272,99,155,56
